"word"	" definition"	" concepts"			
"double"	"having more than one decidedly dissimilar aspects or qualities; public preaching and private influence""- R.W.Emerson"	"actor role clergyman office episode -Frederick meaning Harrison"			
"double"	"consisting of or involving two parts or components usually in pairs"	"door beat duple time egg star pilot measure control multiple yolk copilot"			
"double"	"twice as great or many"	"dose increase portion"			
"double"	"used of flowers having more than the usual number of petals in crowded or overlapping arrangements"	"petal row chrysanthemum"			
"double"	"used of homologous chromosomes associated in pairs in synapsis"				
"double"	"large enough for two"	"bed room"			
"double"	"having two meanings with intent to deceive"	"meaning tongue spoke"			
"bright"	"emitting or reflecting light readily or in large amounts"	"room sunlit sun"			
"bright"	"having striking color"	"dress tapestry plumage bird"			
"bright"	"characterized by quickness and ease in learning"	"child subject average brighter talk"			
"bright"	"having lots of light either natural or artificial"	"spotlight stage room airy"			
"bright"	"made smooth and bright by or as if by rubbing; reflecting a sheen or glow"	"knocker hair glass auburn patent brass wave row candlestick silver"			
"bright"	"splendid"	"court history screen pageantry moment star stage"			
"bright"	"not made dim or less bright"	"headlight curtain houselights"			
"bright"	"clear and sharp and ringing"	"trumpet section sound"			
"bright"	"characterized by happiness or gladness"	"gay world"			
"bright"	"full or promise"	"future scandal publishing career Broadway singer end"			
"far"	"located at a great distance in time or space or degree"	"road future corner earth journey country truth side"			
"far"	"being of a considerable distance or length"	"trek"			
"far"	"being the animal or vehicle on the right or being on the right side of an animal or vehicle"	"right horse side"			
"far"	"beyond a norm in opinion or actions"				
"young"	"(used of living things especially persons) in an early period of life or development or growth"	"people"			
"young"	"(of crops) harvested at an early stage of development; before complete maturity"	"potato corn"			
"young"	"suggestive of youth; vigorous and fresh"	"age"			
"young"	"being in its early stage"	"day industry"			
"young"	"not tried or tested by experience"	"plowing painting hand battle volunteer illustrator artillery"			
"unskilled"	"not having or showing or requiring special skill or proficiency"	"labor job mountain worker occupation climber rhetoric opportunity art workmanship"			
"unskilled"	"lacking professional skill or expertise"	"job painting inexpert effort"			
"unskilled"	"not doing a good job"	"chess incompetent"			
"productive"	"producing or capable of producing (especially abundantly)"	"year farmland collaboration"			
"productive"	"having the ability to produce or originate"	"power force"			
"productive"	"yielding positive results"				
"productive"	"marked by great fruitfulness"	"soil land fertile vineyard farmland"			
"narrow"	"not wide"	"page line bridge"			
"narrow"	"limited in size or scope"	"sense word"			
"narrow"	"lacking tolerance or flexibility or breadth of view"	"judge opinion"			
"narrow"	"very limited in degree"	"margin escape"			
"narrow"	"characterized by painstaking care and detailed examination"	"inspection report scrutiny ground"			
"high"	"greater than normal in degree or intensity or amount"	"temperature opinion point river career risk price hope"			
"high"	"(literal meaning) being at or having a relatively great or specific elevation or upward extension (sometimes used in combinations like `knee-high')"	"forehead incline ceiling foot mountain building"			
"high"	"standing above others in quality or position"	"member community people place priest"			
"high"	"used of sounds and voices; high in pitch or frequency"				
"high"	"happy and excited and energetic"				
"high"	"(used of the smell of meat) smelling spoiled or tainted"				
"high"	"slightly and pleasantly intoxicated from alcohol or a drug (especially marijuana)"				
"standard"	"conforming to or constituting a standard of measurement or value; or of the usual or regularized or accepted kind"	"operating width size procedure brand window standard fixture"			
"standard"	"commonly used or supplied"	"car procedure equipment"			
"standard"	"established or well-known or widely recognized as a model of authority or excellence"	"reference trade protectionism argument work"			
"standard"	"conforming to the established language usage of educated native speakers"	"American King English"			
"standard"	"regularly and widely used or sold"	"stock size item"			
"all"	"quantifier; used with either mass or count nouns to indicate the whole number or amount of or every one of a class"	"men night party food"			
"all"	"completely given to or absorbed by"	"attention"			
"good"	"having desirable or positive qualities especially those suitable for a thing specified"	"table card check exterior picnic news joke paint secretary dress office good report knife stump hospital"			
"good"	"having the normally expected amount"	"mile measure"			
"good"	"morally admirable"				
"good"	"deserving of esteem and respect"	"family company guarantee name"			
"good"	"promoting or enhancing well-being"	"effect climate agreement limitation temperate country experience"			
"good"	"agreeable or pleasing"	"time manner"			
"good"	"of moral excellence"	"man cause person"			
"good"	"having or showing knowledge and skill and aptitude"	"job effect mechanic juggler marksman handicraft adept retouching engineer proficient composer"			
"good"	"thorough"	"workout cleaning house"			
"good"	"with or in a close or intimate relationship"	"friend sister brother"			
"good"	"financially sound"	"secure investment"			
"good"	"most suitable or right for a particular purpose"	"tomato plant time change"			
"good"	"resulting favorably"	"saw well thing one"			
"good"	"exerting force or influence"	"warranty effect year law force"			
"good"	"capable of pleasing"	"look"			
"good"	"appealing to the mind"	"book music"			
"good"	"in excellent physical condition"	"body leg teeth sound mind"			
"good"	"tending to promote physical well-being; beneficial to health"	"effect night influence pure diet sleep air"			
"good"	"not forged"	"dollar bill"			
"good"	"not left to spoil"	"meat"			
"good"	"generally admired"	"taste"			
"fair"	"free from favoritism or self-interest or bias or deception; conforming with established standards or rules"	"mean deal referee footing fight foul"			
"fair"	"not excessive or extreme"	"income price"			
"fair"	"very pleasing to the eye"	"face lass bonny maiden fair bay"			
"fair"	"(of a baseball) hit between the foul lines"	"ball bag base"			
"fair"	"lacking exceptional quality or ability"	"caliber merit sonata average student novel health mediocre performance"			
"fair"	"attractively feminine"	"sex"			
"fair"	"(of a manuscript) having few alterations or corrections"	"manuscript copy"			
"fair"	"gained or earned without cheating or stealing"	"honest penny wage"			
"fair"	"free of clouds or rain"	"today"			
"fair"	"(used of hair or skin) pale or light-colored; "	"complexion"			
"positive"	"characterized by or displaying affirmation or acceptance or certainty etc."	"attitude benefit demand review"			
"positive"	"persuaded of; very sure"	"advantage"			
"positive"	"involving advantage or good"	"factor plus"			
"positive"	"indicating existence or presence of a suspected condition or pathogen"	"test pregnancy"			
"positive"	"formally laid down or imposed"	"law"			
"positive"	"impossible to deny or disprove"	"argument innocence defendant proof"			
"positive"	"of or relating to positivism"	"positivist thinker philosophy doctrine"			
"positive"	"reckoned"	" situated or tending in the direction which naturally or arbitrarily is taken to indicate increase or progress or onward motion"	"student increase"		
"positive"	"greater than zero"	"number"			
"positive"	"having a positive charge"	"proton"			
"positive"	"marked by excessive confidence"	"le materialist queen"			
"right"	"being or located on or directed toward the side of the body to the east when facing north"	"hand turn downstream river field right-hand center bank side"			
"right"	"free from error; especially conforming to fact or truth"	"version road correct answer decision right"			
"right"	"socially right or correct"	"party goodbye behavior"			
"right"	"in conformance with justice or law or morality"	"thing confess"			
"right"	"correct in opinion or judgment"	"time"			
"right"	"appropriate for a condition or purpose or occasion or a person's character"	" needs"	"job place man everything position"		
"right"	"of or belonging to the political or intellectual right"				
"right"	"in or into a satisfactory condition"	"thing"			
"right"	"intended for the right hand"	"glove right-hand"			
"right"	"in accord with accepted standards of usage or procedure"	"oyster word way"			
"right"	"having the axis perpendicular to the base"	"angle"			
"right"	"(of the side of cloth or clothing) facing or intended to face outward"	"pattern shirt cloth side"			
"right"	"most suitable or right for a particular purpose"	"tomato plant time change"			
"right"	"precisely accurate"	"account"			
"fledged"	"(of birds) having developed feathers or plumage; often used in combination"				
"fledged"	"(of an arrow) equipped with feathers"				
"common"	"belonging to or participated in by a community as a whole; public"	"member use community land"			
"common"	"having no special distinction or quality; widely known or commonly encountered; average or ordinary or usual"	"housefly knowledge nuisance procedure man sailor brand cold soap"			
"common"	"common to or shared by two or more parties"	"labor friend interest management"			
"common"	"commonly encountered"	"complaint greeting"			
"common"	"being or characteristic of or appropriate to everyday language"	"mass speaker term parlance specie name tongue vulgar"			
"common"	"of or associated with the great masses of people"	"people mass behavior person nose square day plebeian vulgar"			
"common"	"of low or inferior quality or value"	"population ye metal cloth Shakespeare"			
"common"	"lacking refinement or cultivation or taste"	"soldier display manner taste behavior violence mind guy vulgar"			
"common"	"to be expected; standard"	"decency"			
"constitutional"	"of benefit to or intended to benefit your physical makeup"	"walk"			
"constitutional"	"sanctioned by or consistent with or operating under the law determining the fundamental political principles of a government"	"right speech guarantee government"			
"constitutional"	"existing as an essential constituent or characteristic"	"concept Ptolemaic periodicity system inability truth"			
"constitutional"	"constitutional in the structure of something (especially your physical makeup)"				
"independent"	"free from external control and constraint"	"individualism mind judgment series"			
"independent"	"(of political bodies) not controlled by outside forces"	"judiciary state"			
"independent"	"(of a clause) capable of standing syntactically alone as a complete sentence"	"verb clause subject sentence"			
"independent"	"not controlled by a party or interest group"				
"outside"	"relating to or being on or near the outer side or limit"	"margin"			
"outside"	"coming from the outside"	"camera light income group photograph pressure"			
"outside"	"originating or belonging beyond some bounds:""the outside world"""	"job interest"			
"outside"	"located"	" suited for"	" or taking place in the open air"	"wedding clothes game badminton outdoor"	
"outside"	"functioning outside the boundaries or precincts of an organized unit"	"treatment study care hospital"			
"outside"	"leading to or from the outside"	"door"			
"outside"	"from or between other countries"	"help trade nation commerce"			
"outside"	"very unlikely"	"possibility chance contingency"			
"outside"	"on or toward an outer edge"	"outer lane"			
"outside"	"(of a baseball pitch) on the far side of home plate from the batter"	"pitch"			
"back"	"related to or located at the back"	"yard entrance"			
"back"	"located at or near the back of an animal"	"part leg carcass hind"			
"back"	"of an earlier date"	"issue magazine"			
"potential"	"existing in possibility"	"power us problem"			
"potential"	"expected to become or be; in prospect"	"client"			
"clear"	"readily apparent to the mind"	"explanation nature danger indication murder case idea"			
"clear"	"free from confusion or doubt"	"problem head"			
"clear"	"affording free passage or view"	"view path countryside water victory"			
"clear"	"allowing light to pass through"	"glass bag water plastic air"			
"clear"	"free from contact or proximity or connection"	"danger ship reef"			
"clear"	"characterized by freedom from troubling thoughts (especially guilt)"	"conscience eye questioner"			
"clear"	"(of sound or color) free from anything that dulls or dims"	"red recording blue laughter bell voice effort waterfall bass silver"			
"clear"	"(especially of a title) free from any encumbrance or limitation that presents a question of fact or law"	"title property"			
"clear"	"clear and distinct to the senses; easily perceptible"	"snow letter sky pattern clean-cut image grandfather footprint whistle"			
"clear"	"accurately stated or described"	"value set"			
"clear"	"free from clouds or mist or haze"	"day"			
"clear"	"free of restrictions or qualifications"	"winner health bill"			
"clear"	"free from flaw or blemish or impurity"	"complexion diamond woman"			
"clear"	"clear of charges or deductions"	"profit"			
"clear"	"easily deciphered"				
"clear"	"freed from any question of guilt"	"charge honor blame cowardice"			
"clear"	"characterized by ease and quickness in perceiving"	"mind author percipient"			
"innocent"	"free from evil or guilt"	"child principle"			
"innocent"	"lacking intent or capacity to injure"	"prank"			
"innocent"	"free from sin"				
"innocent"	"lacking in sophistication or worldliness"	"bishop explanation child church stare"			
"innocent"	"not knowledgeable about something specified"	"tourist custom person"			
"innocent"	"completely wanting or lacking"	"devoid recruit innocent merit destitute experience barren meaning insight sentence"			
"innocent"	"(used of things) lacking sense or awareness"	"innocent weather"			
"near"	"not far distant in time or space or degree or circumstances"	"tear future approach neighbor success thing bomb call equal hit"			
"near"	"being on the left side"	"animal left one horse side"			
"near"	"closely resembling the genuine article"	"dress satin beer"			
"near"	"giving or spending with reluctance"	"man administration money"			
"near"	"with or in a close or intimate relationship"	"friend sister brother"			
"near"	"very close in resemblance"	"likeness"			
"new"	"not of long duration; having just (or relatively recently) come into being or been made or acquired or discovered"	"year World New friend comet law car"			
"new"	"original and of a kind not seen before"	"theorem computer proof"			
"new"	"lacking training or experience"	"men recruit"			
"new"	"having no previous example or precedent or parallel"	"prosperity time"			
"new"	"other than the former one(s); different"	"year leader direction mile car"			
"new"	"unaffected by use or exposure"				
"new"	"(of a new kind or fashion) gratuitously new"	"machine idea"			
"new"	"in use after medieval times"	"New Eqyptian dynasty language"			
"new"	"used of a living language; being the current stage in its development"	"Hebrew New Israeli English"			
"new"	"(of crops) harvested at an early stage of development; before complete maturity"	"potato corn"			
"new"	"unfamiliar"	"error job experience someone"			
"opposite"	"being directly across from each other; facing"	"alarm shore street pole side"			
"opposite"	"of leaves etc; growing in pairs on either side of a stem"	"leaf"			
"opposite"	"moving or facing away from each other"	"direction"			
"opposite"	"the other one of a complementary pair"	"king color sex square"			
"opposite"	"altogether different in nature or quality or significance"	"effect medicine character Reade Charles happiest union"			
"opposite"	"characterized by opposite extremes; completely opposed"	"claim contradiction point view extreme position meaning"			
"still"	"not in physical motion"	"object rest inertia"			
"still"	"marked by absence of sound"	"grass night house footstep"			
"still"	"(of a body of water) free from disturbance by heavy waves"	"ribbon blue lake sky sand lagoon crossing ripple water sea placid channel bay"			
"still"	"used of pictures; of a single or static photograph not presented so as to create the illusion of motion; or representing objects not capable of motion"	"life Cezanne photograph apple"			
"still"	"not sparkling"	"water wine"			
"still"	"free from noticeable current"	"pond water"			
"live"	"actually being performed at the time of hearing or viewing"	"performer television Center Lincoln audience entertainment presence program"			
"live"	"exerting force or containing energy"	"wire ore bomb coal play shock window cigarette ball"			
"live"	"possessing life"	"nerve canary doctor person"			
"live"	"highly reverberant"	"concert hall"			
"live"	"charged with an explosive"	"ammunition bomb"			
"live"	"elastic; rebounds readily"	"hair springy bouncy resilient turf tennis ball hickory"			
"live"	"abounding with life and energy"	"member club bunch"			
"live"	"in current use or ready for use"	"type copy"			
"live"	"of current relevance"	"issue option"			
"live"	"charged or energized with electricity"	"wire"			
"live"	"capable of erupting"	"alive volcano"			
"long"	"primarily temporal sense; being or indicating a relatively great or greater than average duration or passage of time or a duration as specified"	"friendship game time life speech hour boring"			
"long"	"primarily spatial sense; of relatively great or greater than average spatial extension or extension as specified"	"road ten word mile distance"			
"long"	"of relatively great height"	"gaunt Sherwood Anderson men window race"			
"long"	"good at remembering"	"mind memory"			
"long"	"holding securities or commodities in expectation of a rise in prices"	"gold coffee position"			
"long"	"(of speech sounds or syllables) of relatively long duration"	"`boot `boat sound vowel `beat `bate English `bite"			
"long"	"involving substantial risk"	"odds"			
"long"	"planning prudently for the future"	"policy issue goal view"			
"long"	"having or being more than normal or necessary:""long on brains"""	"supply"			
"home"	"used of your own ground"	"game home"			
"home"	"relating to or being where one lives or where one's roots are"	"town home"			
"home"	"inside the country"	"Department nation Home responsibility States Interior United Office politics"			
"national"	"of or relating to or belonging to a nation or country"	"anthem hero landmark"			
"national"	"limited to or in the interests of a particular nation"	"policy interest isolationism"			
"national"	"concerned with or applicable to or belonging to an entire nation or country"	"election government system concern highway forest"			
"national"	"owned or maintained for the public by the national government"	"park"			
"national"	"inside the country"	"Department nation Home responsibility States Interior United Office politics"			
"national"	"characteristic of or peculiar to the people of a nation"	"trait"			
"national"	"of or relating to nationality"	"origin"			
"slow"	"not moving quickly; taking a comparatively long time"	"lane growth traffic news walker step"			
"slow"	"at a slow tempo"	"waltz band"			
"slow"	"slow to learn or understand; lacking intellectual acuity"	"mathematics anything Thackeray decision dull student dense official learning anyone"			
"slow"	"(used of timepieces) indicating a time earlier than the correct time"	"clock"			
"slow"	"so lacking in interest as to cause mental weariness"	"letter cricket effect task people competent Burke Twain dream speaker chirping play evening Mark attention Edmund writing train day performance"			
"slow"	"(of business) not active or brisk"	"business market"			
"old"	"(used especially of persons) having lived for a relatively long time or attained a specific age"	"age mother"			
"old"	"of long duration; not new"	"friendship house tradition money country wine"			
"old"	"(used for emphasis) very familiar"	"story boy"			
"old"	"skilled through long experience"	"soldier offender"			
"old"	"belonging to some prior time"	"erstwhile friend capital state quondam glory lover"			
"old"	"(used informally especially for emphasis)"	"fish time wheel cowboy"			
"old"	"of a very early stage in development"	"century Old Anglo middle Saxon German end English"			
"old"	"just preceding something else in time or order"	"house owner"			
"popular"	"regarded with great favor"	" approval"	" or affection especially by the general public"	"cabbage attraction patch girl doll tourist"	
"popular"	"carried on by or for the people (or citizens) at large"	"representation institution vote government"			
"popular"	"representing or appealing to or adapted for the benefit of the people at large"	"movement fiction form science art"			
"popular"	"(of music or art) new and of general appeal (especially among young people)"				
"square"	"having four equal sides and four right angles or forming a right angle"	"peg corner hole round square"			
"square"	"characterized by honesty and fairness"	"deal"			
"square"	"providing abundant nourishment"	"breakfast hearty meal solid day food"			
"square"	"leaving no balance"	"account square"			
"square"	"without evasion or compromise"	"contradiction"			
"square"	"rigidly conventional or old-fashioned"				
"big"	"above average in size or number or quantity or magnitude or extent"	"scientist number area world barn newspaper group family business sum expenditure city"			
"big"	"significant"	"graduation life day"			
"big"	"very intense"	"headache rage shock storm earthquake"			
"big"	"loud and firm"	"voice bold piano sound"			
"big"	"conspicuous in position or importance"	"movement figure circle campus man citizen"			
"big"	"prodigious"	"investor eater spender"			
"big"	"exhibiting self-importance"	"talk"			
"big"	"feeling self-importance"	"pride britches head"			
"big"	"(of animals) fully developed"	"animal adult woman"			
"big"	"marked by intense physical force"	"wind"			
"big"	"generous and understanding and tolerant"	"enemy spirit grudge heart"			
"big"	"given or giving freely"	"goodness backer tipper allowance child fond gift God Saturday munificent art grandfather host compliment"			
"big"	"in an advanced stage of pregnancy"	"child"			
"central"	"serving as an essential component"	"computer structure argument example cause problem rule"			
"central"	"in or near a center or constituting a center; the inner area"	"position"			
"distant"	"separated in space or coming from or going to a distance"	"traffic telephone sound call village"			
"distant"	"far apart in relevance or relationship or kinship"	"cousin consideration relative politics likeness"			
"distant"	"remote in manner"	"dignity stranger smile"			
"distant"	"separate or apart in time"	"past event future"			
"distant"	"located far away spatially"	"remote star land"			
"small"	"limited or below average in number or quantity or magnitude or extent"	"house room group dining car"			
"small"	"limited in size or scope"	"circulation newspaper country plan business"			
"small"	"(of children and animals) young"	" immature"	"child boy"		
"small"	"slight or limited; especially in degree or intensity or scope"	"death time struggle series"			
"small"	"low or inferior in station or quality"	"beginning cottage people priest man"			
"small"	"lowercase"	"letter minuscule poetry e.e.cummings"			
"small"	"(of a voice) faint"	"voice"			
"small"	"have fine or very small constituent particles"	"misty rain"			
"small"	"not large but sufficient in size or amount"	"salary way inflation"			
"small"	"made to seem smaller or less (especially in worth)"	"comment"			
"repulsive"	"offensive to the mind"	"Wounded character massacre deed Knee behavior novel abhorrent custom"			
"repulsive"	"possessing the ability to repel"	"force"			
"repulsive"	"so extremely ugly as to be terrifying"	"mask scar"			
"large"	"above average in size or number or quantity or magnitude or extent"	"scientist number area world barn newspaper group family business sum expenditure city"			
"large"	"fairly large or important in effect; influential"	"negotiation role"			
"large"	"ostentatiously lofty in style"	"man talk prose"			
"large"	"generous and understanding and tolerant"	"enemy spirit grudge heart"			
"large"	"conspicuous in position or importance"	"movement figure circle campus man citizen"			
"large"	"having broad power and range and scope"	"effect sympathy view"			
"large"	"in an advanced stage of pregnancy"	"child"			
"full"	"containing as much or as many as is possible or normal"	"auditorium glass life star"			
"full"	"constituting the full quantity or extent; complete"	"failure town earthquake attention"			
"full"	"complete in extent or degree and in every particular"	"game eclipse disaster"			
"full"	"filled to satisfaction with food or drink"	"stomach"			
"full"	"(of sound) having marked deepness and body"	"voice tone"			
"full"	"having the normally expected amount"	"mile measure"			
"full"	"being at a peak or culminating point"	"summer daylight"			
"full"	"having ample fabric"	"skirt taste trouser"			
"naive"	"marked by or showing unaffected simplicity and lack of guile or worldly experience"	"appearance assumption creature life thing ignorance eye teenager"			
"naive"	"of or created by one without formal training; simple or naive in style"	"Moses Grandma art"			
"naive"	"inexperienced"				
"naive"	"lacking information or instruction"	"law"			
"naive"	"not initiated; deficient in relevant experience"	"subject ceremony eye part experiment"			
"sophisticated"	"having or appealing to those having worldly knowledge and refinement and savoir-faire"	"socialite book audience lifestyle"			
"sophisticated"	"ahead in development; complex or intricate"	"system technology control"			
"sophisticated"	"intellectually appealing"	"drama"			
"historical"	"of or relating to the study of history"	"scholar perspective"			
"historical"	"having once lived or existed or taken place in the real world as distinct from being legendary"	"event Camelot Jesus doubt"			
"historical"	"belonging to the past; of what is important or famous in the past"	"character time historic victory"			
"historical"	"used of the study of a phenomenon (especially language) as it changes through time"	"linguistics"			
"kind"	"having or showing a tender and considerate and helpful nature; used especially of persons and their behavior"	"letter word kind patient master"			
"kind"	"agreeable"	" conducive to comfort"	"climate foot anything asthmatic sunshine pavement summer kind"		
"kind"	"tolerant and forgiving under provocation"	"window neighbor kind son"			
"wide"	"having great (or a certain) extent from one side to the other"	"road foot river margin necktie shoulder mile"			
"wide"	"broad in scope or content"	"invention application power study sanction blanket violator definition human-rights nationality T.G.Winner pay increase"			
"wide"	"(used of eyes) fully open or extended"	"eye"			
"wide"	"very large in expanse or scope"	"plain sky lawn view"			
"wide"	"great in degree"	"margin"			
"wide"	"having ample fabric"	"skirt taste trouser"			
"wide"	"not on target"	"arrow claim mark kick truth"			
"free"	"able to act at will; not hampered; not under compulsion or restraint"	"port choice racism enterprise country hour"			
"free"	"unconstrained or not chemically bound in a molecule or not fixed and capable of relatively unrestricted motion"	"electron expansion oxygen"			
"free"	"costing nothing"	"admission ticket"			
"free"	"not occupied or in use"	"locker lane"			
"free"	"not fixed in position"	"arm shutter"			
"free"	"not held in servitude"	"man War Civil"			
"free"	"not taken up by scheduled activities"	"time class hand hour"			
"free"	"completely wanting or lacking"	"devoid recruit innocent merit destitute experience barren meaning insight sentence"			
"free"	"not literal"	"poem interpretation translation"			
"down"	"being or moving lower in position or less in some value"	"lay moon run stock team pawn today market"			
"down"	"extending or moving from a higher to a lower place"	"course staircase stream"			
"down"	"becoming progressively lower"	"trend estate market"			
"down"	"being put out by a strikeout"	"bottom"			
"down"	"understood perfectly"	"algebra problem"			
"down"	"lower than previously"	"market price"			
"down"	"shut"	"shade"			
"down"	"not functioning (temporarily or permanently)"	"computer"			
"down"	"filled with melancholy and despondency"	"job face downcast defeat silence view city economy loss prediction expression thought mood gloomy darkening"			
"following"	"about to be mentioned or specified"	"item"			
"following"	"immediately following in time or order"	"president line list day item"			
"following"	"going or proceeding or coming after in the same direction"	"crowd occasion parade footstep car"			
"following"	"in the desired direction"	"wind"			
"material"	"concerned with worldly rather than spiritual interests"	"possession wealth comfort material"			
"material"	"derived from or composed of matter"	"universe material"			
"material"	"directly relevant to a matter especially a law case"	"hand judgment witness support issue material fact evidence difference"			
"material"	"concerned with or affecting physical as distinct from intellectual or psychological well-being"	"T.Roosevelt material citizen need welfare"			
"material"	"having material or physical form or substance"	"necessity Jowett Benjamin corporeal"			
"material"	"having substance or capable of being treated as fact; not imaginary"	"world thing dream Shakespeare"			
"plain"	"clearly revealed to the mind or the senses or judgment"	"patent effect advantage view field drought hostility parched plain disapproval meaning anyone"			
"plain"	"not elaborate or elaborated; simple"	"brick suit plain building fact food"			
"plain"	"lacking patterns especially in color"				
"plain"	"not mixed with extraneous elements"	"blessing sheer plain water wine"			
"plain"	"free from any effort to soften to disguise"	"people child plain candor truth"			
"plain"	"lacking embellishment or ornamentation"	"hair style architecture concrete wall stark"			
"plain"	"lacking in physical beauty or proportion"	"face child plain building girl"			
"immediate"	"of the present time and place"	"revision"			
"immediate"	"very close or connected in space or time"	"past event contact vicinity"			
"immediate"	"having no intervening medium"	"influence"			
"immediate"	"immediately before or after as in a chain of cause and effect"	"cause trouble result"			
"immediate"	"performed with little or no delay"	"letter denial straightaway reply prompt"			
"well"	"in good health especially after having suffered illness or injury; at least I feel well"""	"wound well man"			
"well"	"resulting favorably"	"saw well thing one"			
"well"	"wise or advantageous and hence advisable"				
"accurate"	"conforming exactly or almost exactly to fact or to a standard or performing with total accuracy"	"accounting accurate measurement scale reproduction"			
"accurate"	"(of ideas"	" images"	" representations"	" expressions) characterized by perfect conformity to fact or truth; strictly correct"	"image measurement"
"confident"	"having or marked by confidence or assurance"	"manner confident speaker fulfillment reply day"			
"confident"	"persuaded of; very sure"	"advantage"			
"confident"	"not liable to error in judgment or action"	"talent Michiko Lippman depression storytelling Kakutani statesman Walter"			
"experimental"	"relating to or based on experiment"	"physic"			
"experimental"	"relying on observation or experiment"	"hypothesis result"			
"experimental"	"of the nature of or undergoing an experiment"	"drug"			
"original"	"preceding all others in time or being as first made or performed"	"statement house condition book opera binding inhabitant Americas cast performance"			
"original"	"(of e.g. information) not secondhand or by way of something intermediary"	"work source"			
"original"	"being or productive of something fresh and unusual; or being as first made or thought of"	"mind music approach"			
"original"	"not derived or copied or translated from something else; not an adaptation"""	"translation xerox play copy subtlety"			
"fine"	"being satisfactory or in satisfactory condition"	"minute movie passenger thing dinner everything fine"			
