word	definition	concepts
head	the tip of an abscess (where the pus accumulates)	
head	the length or height based on the size of a human or animal head	horse won sister head
head	a dense cluster of flowers or foliage	cauliflower lettuce head
head	the educator who has executive authority for a school	pupil principal
head	an individual person	ticket head
head	a user of (usually soft) drugs	office head
head	a natural elevation (especially a rocky one that juts out into the sea)	
head	a rounded compact mass	comet head
head	the foam or froth that accumulates at the top when you pour an effervescent liquid into a container	beer foam head
head	the part in the front or nearest the viewer	forefront column head
head	a difficult juncture	yesterday matter pas head
head	forward movement	ship headway gale
head	a V-shaped mark at one end of an arrow pointer	point arrow
head	the subject matter at issue	question Roman head discussion poet merit disease
head	a line of text serving to indicate what the passage below it is about	text heading
head	the rounded end of a bone that fits into a rounded cavity in another bone to form a joint	humerus head
head	that part of a skeletal muscle that is away from the bone that it moves	
head	(computer science) a tiny electromagnetic coil and metal pole used to write and read magnetic patterns on a disk	
head	(usually plural) the obverse side of a coin that usually bears the representation of a person's head	tail head
head	the striking part of a tool	hammer head
head	(nautical) a toilet on board a boat or ship	
head	a projection out from one end	nail pinhead pin head
head	a membrane that is stretched taut over a drum	
head	oral stimulation of the genitals	head
mount	a lightweight horse kept for riding only	
mount	the act of climbing something	climb top
mount	a land mass that projects well above its surroundings; higher than a hill	
mount	a mounting consisting of a piece of metal (as in a ring or other jewelry) that holds a gem in place	diamond plain gold mount
mount	something forming a back that is added for strengthening	
rule	a principle or condition that customarily governs behavior	haircut walk breakfast rule regulation
rule	something regarded as a normative example	formula convention exception rule visitor violence character
rule	prescribed guide for conduct or action	
rule	(linguistics) a rule describing (or prescribing) a linguistic practice	
rule	a basic generalization that is accepted as true and that can be used as a basis for reasoning or conduct	principle composition work
rule	the duration of a monarch's or government's power	rule Elizabeth
rule	dominance or power through legal authority	Caesar Africa rule France dominion area
rule	directions that define the way a game or sport is to be conducted	chess rule
rule	any one of a systematic body of regulations defining the way of life of members of a religious order	Dominic rule St.
rule	a rule or law concerning a natural phenomenon or the function of a complex system	conservation right-hand field rule jet propulsion principle mass
rule	(mathematics) a standard procedure for solving a class of mathematical problems	formula Descartes bound rule polynomial sign
rule	measuring stick consisting of a strip of wood or metal or plastic with a straight edge that is used for drawing straight lines and measuring lengths	
number	the property possessed by a sum or total or indefinite quantity of units or individuals	parameter chore thousand figure number
number	a concept of quantity involving zero and units	position number sequence
number	a short theatrical performance that is part of a longer program	time act routine number evening
number	the number is used in calling a particular telephone	number
number	a symbol used to represent a number	numeral school
number	one of a series published periodically	room waiting issue dentist magazine
number	a select company of people	number
number	a numeral or string of numerals that is used for identification	Security number Social
number	a clothing measurement	shoe number
number	the grammatical category for the forms of nouns and pronouns and verbs that are used depending on the number of entities involved (singular or dual or plural)	verb number English subject
number	an item of merchandise offered for sale	sweater number nylon
one	the smallest whole number or a numeral representing this number	lunch one
one	a single person or thing	one
business	a commercial or industrial enterprise and the people who constitute it	business mom-and-pop concern brother
business	the activity of providing goods and services involving financial and commercial and industrial aspects	business computer
business	the principal activity in your life that you do to earn money	business line
business	a rightful concern or responsibility	business none
business	an immediate objective	business gossip evening
business	the volume of commercial activity	business today
business	business concerns collectively	Government business
business	customers collectively	class clientele
business	incidental activity performed by an actor for dramatic effect	business cane
room	an area within a building enclosed by walls and floor and ceiling	view room
room	space for movement	elbow room way
room	opportunity for	room improvement
room	the people who are present in a room	room
at	a highly unstable radioactive element (the heaviest of the halogen series); a decay product of uranium and thorium	
at	100 at equal 1 kip in Laos	
headquarters	(usually plural) the office that serves as the administrative center of an enterprise	headquarters New York company
headquarters	the military installation from which a commander performs the functions of command	headquarters tent couple general
headquarters	(plural) a military unit consisting of a commander and the headquarters staff	
take	the income or profit arising from such transactions as the sale of land or other property	% return
take	the act of photographing a scene or part of a scene without interruption	
find	a productive insight	
find	the act of discovering something	
office	place of business where professional or clerical duties are performed	building office
office	an administrative unit of government	Authority Bureau Agency Census Budget Valley Office Tennessee Intelligence Central Management
office	the actions and activities assigned to or required or expected of a person or group	teacher government role part function
office	(of a government or government official) holding an office means being in power	power president candidate advantage office year
office	professional or clerical workers in an office	office blizzard morning
office	a religious rite or service prescribed by ecclesiastical authorities	office mass
office	a job in an organization	post treasury
thing	a special situation	thing
thing	an action	thing
thing	a special abstraction	spirit thing heart
thing	an artifact	thing work
thing	an event	way thing
thing	a vaguely specified concern	affair matter thing none
thing	a statement regarded as an object	term thing
thing	an entity that is not named specifically	thing
thing	any attribute or quality considered as having its own existence	thing
thing	a special objective	thing bound
thing	a persistent illogical feeling of desire or aversion	seafood thing
thing	a separate and self-contained entity	
admission	the act of admitting someone to enter	admission clinic surgery
admission	an acknowledgment of the truth of something	
admission	the fee charged for admission	
admission	the right to enter	
like	a similar kind	fox dog like
like	a kind of person	people ilk like
value	a numerical quantity measured or assigned or computed	millisecond value
value	the quality (positive or negative) that renders something desirable or valuable	world Shylock value
value	the amount (of money or goods or services) that is considered to be a fair equivalent for something else	price produce value
value	relative darkness or lightness of a color	Lowe dark Hing color -Joe painting medium value
value	(music) the relative duration of a musical note	
value	an ideal accepted by some individual or group	value
part	something determined in relation to something that includes it	portion something constituent component part manuscript plankton
part	something less than the whole of a human artifact	house part
part	a portion of a natural object	granite piece part river
part	that which concerns a person with regard to a particular role or situation	part effort vigilance
part	the extended spatial location of something	outer part religion France space world region
part	the actions and activities assigned to or required or expected of a person or group	teacher government role part function
part	an actor's portrayal of someone in a play	Desdemona part
part	assets belonging to or due to or contributed by an individual person or group	share cash
part	one of the portions into which something is regarded as divided and which together constitute a whole	section BBC engineering part exam division finance company
part	a line of scalp that can be seen when sections of hair are combed in opposite directions	middle part
part	the melody carried by a particular voice or instrument in polyphonic music	part
part	the part played by a person in bringing about a result	share contribution project work
keep	the financial means whereby one lives	livelihood support keep state child
keep	the main tower within the walls of a medieval castle or fortress	
keep	a cell in a jail or prison	
break	some abrupt occurrence that interrupts an ongoing activity	telephone action player break interruption
break	an unexpected piece of good luck	break
break	(geology) a crack in the earth's crust resulting from the displacement of one side with respect to the other	fault crust faulting earth
break	a personal or social separation (as between opposing factions)	break relation
break	a pause from doing something (as work)	break time
break	the act of breaking something	breakage
break	a time interval during which there is a temporary cessation of something	
break	breaking of hard tissue such as bone	break fracture fall
break	the occurrence of breaking	break valley dam
break	an abrupt change in the tone or register of the voice (as at puberty or due to emotion)	break voice
break	the opening shot that scatters the balls in billiards or pool	
break	(tennis) a score consisting of winning a game when your opponent was serving	break set
break	an act of delaying or interrupting the continuity	break account gap
break	a sudden dash	break door
break	any frame in which a bowler fails to make a strike or spare	break frame cost match
break	an escape from jail	breakout
launch	a motorboat with an open deck or a half deck	
launch	the act of propelling with force	
face	the front of the human head from the forehead to the chin and ear to ear	news face look
face	the feelings expressed on a person's face	expression face look triumph
face	the general outward appearance of something	city face
face	the striking or working surface of an implement	
face	a part of a person that is used to refer to a person	roomful
face	a surface forming part of the outside of an object	face dew leaf crystal side
face	the part of an animal corresponding to the human face	
face	the side upon which the use of a thing depends (usually the most prominent surface of an object)	card
face	a contorted facial expression	grimace prospect
face	a specific size and style of type within a type family	
face	status in the eyes of others	face
face	impudent aggressiveness	effrontery honesty boldness
face	a vertical surface of a building or cliff	
city	a large and densely populated urban area; may include several independent administrative districts	city Troy Ancient
city	an incorporated administrative district established by state charter	city tax rate
city	people living in a large densely populated municipality	Republicans city
count	the total number counted	blood count
count	the act of counting; reciting numbers in ascending order	counting hour
count	a nobleman (in various countries) having rank equal to a British earl	
regard	(usually preceded by `in') a detail or point	respect
regard	paying particular notice (as to children or helpless people)	attentiveness heed consequence wish
regard	(usually plural) a polite expression of desire for someone's welfare	kind regard wish
regard	a long fixed look	gaze
regard	the condition of being honored (esteemed or respected or well regarded)	esteem regard man
regard	a feeling of friendship and esteem	regard respect love
regard	an attitude of admiration or esteem	respect
charge	an impetuous rush toward someone or something	charge battle wrestler cavalry adversary
charge	(criminal law) a pleading describing some wrong or offense	charge larceny
charge	the price charged for some article or service	admission charge
charge	the quantity of unbalanced electricity in a body (either positive or negative) and construed as an excess or deficiency of electrons	charge battery
charge	attention and management implying responsibility for safety	bodyguard care
charge	a special assignment that is given to a person or group	message mission London charge
charge	a person committed to your care	teacher street charge
charge	financial liabilities (such as a tax)	estate charge
charge	(psychoanalysis) the libidinal energy invested in some idea or person or object	cathexis charge analog Freud thought
charge	the swift release of a store of affective force	kick bang boot rush heroin
charge	request for payment of a debt	end month charge
charge	a formal statement of a command or injunction to do something	jury charge judge
charge	an assertion that someone is guilty of a fault or offence	driving charge Jones drunken newspaper
charge	heraldry consisting of a design or image depicted on a shield	
charge	a quantity of explosive to be set off at one time	cartridge grain charge
i	a nonmetallic element belonging to the halogens; used especially in medicine and photography and in dyes; occurs naturally only in combination in small quantities (as in sea water or rocks)	
i	the smallest whole number or a numeral representing this number	lunch one
i	the 9th letter of the Roman alphabet	
do	an uproarious party	
do	the syllable naming the first (tonic) note of any major scale in solmization	
do	doctor's degree in osteopathy	
earnings	the excess of revenues over outlays in a given period of time (including depreciation and other non-cash expenses)	
earnings	something that remunerates	earnings pay quarter wage drink check
book	a written work or composition that has been published (printed on pages bound together)	economics book
book	physical objects consisting of a number of pages bound together	book doorstop
book	a compilation of the known facts regarding something or someone	name look Smith Al record book
book	a written version of a play or other dramatic composition; used in preparing for a performance	
book	a record in which commercial accounts are recorded	book subpoena
book	a collection of playing cards satisfying the rules of a card game	
book	a collection of rules or prescribed standards on the basis of which decisions are made	book thing
book	the sacred writings of Islam revealed by God to the prophet Muhammad during his life at Mecca and Medina	
book	the sacred writings of the Christian religions	Word heathen
book	a major division of a long written composition	book Isaiah
book	a number of sheets (ticket or stamps etc.) bound together on one edge	book stamp
worth	an indefinite quantity of something having a specified value	dollar gasoline
worth	the quality that renders something desirable or valuable or useful	
worth	French couturier (born in England) regarded as the founder of Parisian haute couture; noted for introducing the bustle (1825-1895)	
sort	a category of things distinguished by some common characteristic or quality	dessert sculpture art form
sort	an approximate definition or example	dress sort magenta thing
sort	a person of a particular character or nature	person sort
sort	an operation that segregates items into groups according to a specified criterion	process bottleneck delivery mail
point	a geometric element that has position but no extension	point coordinate
point	the precise location of something; a spatially limited location	point street survey
point	a brief version of the essential meaning of something	point get life joke
point	an isolated fact that is considered separately from the whole	point information detail
point	a specific identifiable position in a continuum or series or especially in a process	stage degree frankness science
point	an instant of time	point
point	the object of an activity	point
point	a V shape	point teeth cannibal
point	a very small circular shape	point line dot row
point	the unit of counting in scoring a game or contest	point half count
point	a promontory extending out into a large body of water	point
point	a distinct part that can be specified separately in a group of things that could be enumerated on a list	Times item New list agenda shopping point York
point	a style in speech or writing that arrests attention and has a penetrating or convincing quality or effect	
point	an outstanding characteristic	movie point acting
point	sharp end	point pencil tree knife
point	any of 32 horizontal directions indicated on the card of a compass	point compass
point	a linear unit used to measure the size of type; approximately 1/72 inch	
point	one percent of the total principal of a loan; it is paid at the time the loan is made and is independent of the interest on the loan	
point	a punctuation mark (.) placed at the end of a declarative sentence to indicate a full stop or after abbreviations	period England stop
point	a V-shaped mark at one end of an arrow pointer	point arrow
point	the dot at the left of a decimal fraction	
point	the property of a shape that tapers to a sharp tip	
point	a distinguishing or individuating characteristic	point
point	the gun muzzle's direction	point gun
point	a wall socket	
point	a contact in the distributor; as the rotor turns its projecting arm contacts them and current flows to the spark plugs	
core	a small group of indispensable persons or things	periodical program publishing core
core	the center of an object	ball titanium core
core	the central part of the Earth	
core	the choicest or most essential or most vital part of some idea or experience	Republican prosecutor gist soul Party story nub argument heart
core	a cylindrical sample of soil or rock obtained with a hollow drill	
core	an organization founded by James Leonard Farmer in 1942 to work for racial equality	
core	the central meaning or theme of a speech or literary work	
core	(computer science) a tiny ferrite toroid formerly used in a random access memory to store one bit of data; now superseded by semiconductor memories	bit content wire core mean
core	the chamber of a nuclear reactor containing the fissile material where the reaction takes place	
core	a bar of magnetic material (as soft iron) that passes through a coil and serves to increase the inductance of the coil	
management	the act of managing something	management program government direction economy function
management	those in charge of running a business	
will	the capability of conscious choice and decision and intention	revolt exercise volition Meredith George
will	a fixed and persistent intent or purpose	way
will	a legal document declaring a person's wishes regarding the disposal of their property when they die	
side	a place within a region identified relative to a center or reference location	church side
side	one of two or more contesting groups	side Confederate
side	either the left or right half of a body	pain side
side	a surface forming part of the outside of an object	face dew leaf crystal side
side	an extended outer surface of an object	house box side
side	an aspect of something (as contrasted with some other implied aspect)	business side
side	a line segment forming part of the perimeter of a plane figure	triangle hypotenuse side
side	a family line of descent	brain father side
side	a lengthwise dressed half of an animal's carcass used for food	
side	an opinion that is held in opposition to another in an argument or dispute	question side
side	an elevated geological formation	house mountain side slope
side	(sports) the spin given to a ball by striking it on one side or releasing it with a sharp twist	
go	a time for working (after which you will be relieved by someone else)	spell go work
go	street names for methylenedioxymethamphetamine	
go	a usually brief attempt	crack whirl
go	a board game for two players who place counters on a grid; the object is to surround and so capture the opponent's counters	
end	either extremity of something that has length	terminal end arch line fornix pier thread
end	the point in time at which something ends	end period year warranty
end	the concluding parts of an event or occurrence	end movie
end	the state of affairs that a plan is intended to achieve and that (when achieved) terminates behavior intended to achieve it	end mean
end	a final part or section	beginning section end Start calculus
end	a final state	end experiment
end	the surface at either extremity of a three-dimensional object	end box side
end	(football) the person who plays at one end of the line of scrimmage	end pas
end	a boundary marking the extremities of something	end town
end	one of two places from which people are communicating to each other	end phone rang time
end	the part you are expected to play	end
end	the last section of a communication	conclusion
end	a piece of cloth that is left over after the rest has been used or sold	
end	(American football) a position on the line of scrimmage	end one
collapse	an abrupt failure of function or complete physical exhaustion	prostration men commander
collapse	a natural event caused by something suddenly falling down or caving in	roof collapse danger star gravity
collapse	the act of throwing yourself down	bed flop
collapse	a sudden large decline of business or the prices of stocks (especially one that causes additional failures)	
feel	an intuitive awareness; 	animal feel
feel	the general atmosphere of a place or situation and the effect that it has on people	meeting smell city treason clergyman feel tone
feel	a property perceived by touch	
feel	manual stimulation of the genital area for sexual pleasure	girl feel
want	a state of extreme poverty	
want	the state of needing something that is absent or unavailable	nail water insight shoe desert deficiency lack want problem region
want	anything that is necessary but lacking	mean simple need
want	a specific feeling of desire	wishing desire wish
place	a point located with respect to surface features of some region	spot place picnic planet
place	any area set aside for a particular purpose	place property president White House
place	an abstract mental location	place thought group heart system
place	a general vicinity	Chicago place
place	the post or function properly or customarily occupied or served by another	place lieu stead
place	a particular situation	place
place	where you live at a particular time	home place package mine
place	a job in an organization	post treasury
place	the particular portion of space occupied by something	lamp place
place	proper or designated social situation	responsibility place station man
place	a space reserved for sitting (as in a theater or on a train or airplane)	place seat someone advance
place	the passage that is being read	page place
place	proper or appropriate position or location	place kitchen woman
place	a public square with room for pedestrians	Place Grosvenor Plaza Elm
place	an item on a list or in a sequence	position place
place	a blank area	name space
casino	a public building for gambling and entertainment	
casino	a card game in which cards face up on the table are taken with eligible cards in the hand	
atmosphere	a particular environment or surrounding influence	atmosphere excitement
atmosphere	a unit of pressure: the pressure that will support a column of mercury 760 mm high at sea level and 0 degrees centigrade	
atmosphere	the mass of air surrounding the Earth	heat atmosphere air comet
atmosphere	the weather or climate at some place	atmosphere fog
atmosphere	the envelope of gases surrounding any celestial body	
atmosphere	a distinctive but intangible quality surrounding a person or thing	place mystery house defeat candidate headquarters aura romance air atmosphere
grip	the act of grasping	clasp arm railing man firm grip hold
grip	the appendage to an object that is designed to be held in order to use or move it	hammer briefcase grip handle
grip	a portable rectangular container for carrying clothes	plane bag
grip	the friction between a body and the surface on which it moves (as between an automobile tire and the road)	
grip	worker who moves the camera around while a film or television show is being made	
grip	an intellectual hold or understanding	power grasp grip emotion priority history
grip	a flat wire hairpin whose prongs press tightly together; used to hold bobbed hair in place	grip Britain pin bobby
life	a characteristic state or mode of living	city life
life	the experience of being alive; the course of human events and activities	life complexity
life	the course of existence of an individual; the actions and events that occur in living	Australia interference others life
life	the condition of living or the state of being alive	process chemical hope life
life	the period during which something is functional (as between birth and death)	battery life
life	the period between birth and the present time	life
life	the period from the present until death	emperor life
life	a living person	heroism life
life	animation and energy in action or expression	actor vain play life
life	living things collectively	life ocean
life	the organic phenomenon that distinguishes living organisms from nonliving ones	moon life
life	an account of the series of events making up a person's life	
life	a motive for living	pottery life
life	a prison term lasting as long as the prisoner lives	guard life
stir	a prominent or sensational but short-lived news event	splash
stir	emotional agitation and excitement	
stir	a rapid active commotion	
figure	a diagram or picture illustrating textual material	Figure area
figure	alternative names for the body of a human being	body flesh Leonardo physique spirit
figure	one of the elements that collectively form a system of numeration	digit
figure	a model of a bodily form (especially of a person)	Claus Santa figure
figure	a well-known or notable person	name history France figure music
figure	a combination of points and lines and planes that form a visible palpable shape	
figure	an amount of money expressed numerically	figure
figure	the impression produced by a person	figure
figure	the property possessed by a sum or total or indefinite quantity of units or individuals	parameter chore thousand figure number
figure	language used in a figurative or nonliteral sense	
figure	a unitary percept having structure and coherence that is the object of attention and that stands out against a ground	
figure	a decorative or artistic work	design door coach
figure	a predetermined set of movements in dancing or skating	compulsory score figure
unit	any division of quantity accepted as a standard of measurement or exchange	unit change dollar United States volume wheat currency bushel
unit	an individual or group or structure or other entity regarded as a structural or functional constituent of a whole	unit number installation word
unit	an organization regarded as part of a larger social group	trouble unit coach job battle
unit	a single undivided whole	brain idea unit
unit	a single undivided natural thing occurring in the composition of something else	acid unit
unit	an assemblage of parts that is regarded as a single entity	unit whole team part
interest	a sense of concern with and curiosity about someone or something	interest music
interest	a reason for wanting something done	sake safety interest country
interest	the power of attracting or holding one's attention (because it is unusual or exciting etc.)	color room nothing interest
interest	a fixed charge for borrowing money; usually a percentage of the amount borrowed	mortgage interest
interest	(law) a right or legal share of something; a financial involvement with something	future stake world interest company
interest	(usually plural) a social group whose members control some field of activity and who have common aims	iron interest production
interest	a diversion that occupies one's time and thoughts (usually pleasantly)	pursuit boy pastime interest sailing
bond	an electrical force linking atoms	
bond	a certificate of debt (usually interest-bearing or discounted) that is issued by a government or corporation in order to raise money; the issuer is required to pay a fixed sum annually until maturity and then a fixed sum to repay the principal	
bond	a connection based on kinship or marriage or common interest	family shifting bond alliance friendship
bond	(criminal law) money that must be forfeited by the bondsman if an accused person fails to appear in court for trial	bond alderman bail judge
bond	a restraint that confines or restricts freedom (especially something used to tie down or restrain a prisoner)	
bond	a connection that fastens things together	
bond	a superior quality of strong durable white writing paper; originally made for printing documents	
bond	United States civil rights leader who was elected to the legislature in Georgia but was barred from taking his seat because he opposed the Vietnam War (born 1940)	
bond	British secret operative 007 in novels by Ian Fleming	
bond	the property of sticking together (as of glue and wood) or the joining of surfaces of different composition	adhesiveness press cell adhesion
defence	(psychiatry) an unconscious process that tries to reduce the anxiety associated with instinctive desires	
defence	(sports) the team that is trying to prevent the other team from scoring	team defense
defence	the defendant and his legal advisors collectively	defense
defence	an organization of defenders that provides resistance against attack	defense invasion
defence	the speech act of answering an attack on your assertions	charge defense refutation man
defence	the justification for some act or belief	theory defense
defence	a structure used to defend against attack	artillery defense
defence	a defendant's answer or plea denying the truth of the charges against him	defense evidence
defence	(military) military action or resources protecting a country against potential enemies	Stalingrad defense program
defence	protection from harm	sanitation defense disease
defence	the act of defending someone or something against attack or injury	hurricane boxer problem defense
campaign	a race between candidates for elective office	Senate governor money run campaign
campaign	a series of actions advancing a principle or tending toward a particular end	drive cause world pennant slavery war team effort peace movement campaign
campaign	several related operations aimed at achieving a particular goal (usually within geographical and temporal constraints)	
campaign	an overland journey by hunters (especially in Africa)	
language	a systematic means of communicating by the use of sounds or conventional symbols	text speed program language
language	(language) communication by word of mouth	speech street language
language	the text of a popular song or musical-comedy number	lyric composition word song language music
language	the cognitive processes involved in producing and understanding linguistic communication	feeling language
language	the mental faculty or power of vocal communication	animal set language
language	a system of words used to name things in a particular discipline	nomenclature sociology language terminology
friend	a person you know well and regard with affection and trust	friend university
friend	an associate who provides cooperation or assistance	ally fight
friend	a person with whom you are acquainted	name trouble family friend acquaintance
friend	a person who backs a politician or a team etc.	library friend game supporter
friend	a member of the Religious Society of Friends founded by George Fox (the Friends have never called themselves Quakers)	
labour	a social class comprising those who do manual labor or work for wages	field labor shortage
labour	concluding state of pregnancy; from the onset of contractions to the birth of a child	hour labor
labour	a political party formed in Great Britain in 1900; characterized by the promotion of labor's interests and formerly the socialization of key industries	
labour	productive work (especially physical work done for wages)	skill deal labor
juxtaposition	the act of positioning close together (or side by side)	juxtaposition color result
juxtaposition	a side-by-side position	
hold	the act of grasping	clasp arm railing man firm grip hold
hold	understanding of the nature or meaning or quality or magnitude of something	grasp practice accounting
hold	power by which something or someone is affected or dominated	hold
hold	time during which some action is awaited	action delay replay hold
hold	a state of being confined (usually for a short time)	detention custody prisoner hold police
hold	a stronghold	
hold	a cell in a jail or prison	
hold	the appendage to an object that is designed to be held in order to use or move it	hammer briefcase grip handle
hold	the space in a ship or aircraft for storing cargo	
significance	the quality of being significant	significance power
significance	a meaning that is not expressly stated but can be inferred	significance remark word implication expectation
significance	the message that is intended or expressed or signified	significance meaning signification sentence light import character announcement traffic
question	an instance of questioning	inquiry question training
question	the subject matter at issue	question Roman head discussion poet merit disease
question	a sentence of inquiry that asks for a reply	trouble interrogation question
question	uncertainty about the truth or factuality or existence of something	claim question validity enterprise dubiousness
question	a formal proposal for action made to a deliberative assembly for discussion and vote	motion question
question	an informal reference to a marriage proposal	question
same	a member of an indigenous nomadic people living in northern Scandinavia and herding reindeer	
same	the language of nomadic Lapps in northern Scandinavia and the Kola Peninsula	
power	possession of controlling influence	power facade weapon powerfulness love
power	(physics) the rate of doing work; measured in watts (= joules/second)	
power	possession of the qualities (especially mental qualities) required to do something or get something done	discrimination power danger
power	(of a government or government official) holding an office means being in power	power president candidate advantage office year
power	one possessing or exercising power or influence or authority	force presence power evil
power	a mathematical notation indicating the number of times a quantity is multiplied by itself	
power	physical strength	
power	a state powerful enough to influence events throughout the world	
power	a very wealthy or powerful businessman	oil baron
gap	a conspicuous disparity or difference as between two figures	outgo gap borrowing lending cost spread income
gap	an open or empty space in or between things	wall gap tree opening explosion
gap	a narrow opening	crack window
gap	a pass between mountain peaks	
gap	a difference (especially an unfortunate difference) between two opinions or two views or two situations	
gap	an act of delaying or interrupting the continuity	break account gap
training	activity leading to skilled behavior	
training	the result of good upbringing (especially knowledge of correct social behavior)	refinement breeding woman
objective	the goal intended to be attained (and which is believed to be attainable)	child trip object
objective	the lens or system of lenses in a telescope or microscope that is nearest the object being viewed	
double	a base hit on which the batter stops safely at second base	centerfield
double	a stand-in for movie stars to perform dangerous stunts	Gable Clark double job Hollywood
double	someone who closely resembles a famous person (especially an actor)	image Gingrich mother
double	a quantity that is twice as great as another	double
double	raising the stakes in a card game by a factor of 2	double bluff
welcome	the state of being welcome	welcome
welcome	a greeting or reception	proposal welcome
rate	a magnitude or frequency relative to a time unit	rate hour change mile
rate	amount of a charge or payment relative to some basis	rate call phone
rate	the relative speed of progress or change	rate event pace
rate	a quantity or amount or measure considered as a proportion of another quantity or amount or measure	literacy rate dropout retention
stand	a support or foundation	lamp base
stand	the position where a thing or person stands	
stand	a growth of similar plants (usually trees) in a particular area	tree stand
stand	a small table for holding articles of various kinds	bedside stand
stand	a support for displaying various articles	rack newspaper
stand	an interruption of normal activity	
stand	a mental position from which things are viewed	event Russians viewpoint view point problem history
stand	a booth where articles are displayed for sale	
stand	a stop made by a touring musical or theatrical group to give a performance	stand
stand	tiered seats consisting of a structure (often made of wood) where people can sit to watch an event (game or parade)	
stand	a platform where a (brass) band can play in the open air	
stand	a defensive effort	Rhone army stand
position	the particular portion of space occupied by something	lamp place
position	a point occupied by troops for tactical reasons	
position	a way of regarding situations or topics etc.	view positivist
