"word"	"definition"	"concepts"
"make"	"make by combining materials and parts"	"warmer pig straw brassiere house"
"make"	"change from one form into another"	"clay water gold brick lead wine"
"make"	"act in a certain way so as to acquire"	"enemy friend"
"make"	"charge with a function; charge to be"	"Committee club president Head"
"make"	"achieve a point or goal"	"point day team Nicklaus goal"
"make"	"reach a destination, either real or abstract"	"line MAC doorstep water Detroit noon weekend machine"
"make"	"institute, enact, or establish"	"law"
"make"	"carry out or commit"	"mistake commit"
"make"	"form by assembling individuals or constituents"	"quorum"
"make"	"organize or be responsible for"	"reception party course"
"make"	"put in order or neaten"	"room bed"
"make"	"head into a specified direction"	"convict mountain hill"
"make"	"have a bowel movement"	"dog bed flower"
"make"	"undergo fabrication or creation"	"sweater wool"
"make"	"be suitable for"	"furniture Wood"
"make"	"add up to"	"make"
"make"	"amount to"	"increase living difference standard"
"make"	"constitute the essence of"	"man Clothes"
"make"	"appear to begin an activity"	"end nothing hello"
"make"	"proceed along a path"	"way forest crowd work"
"make"	"reach in time"	"plane"
"make"	"gather and light the materials for"	"fire"
"make"	"prepare for eating by applying heat"	"dinner omelette please breakfast fix guest"
"make"	"induce to have sex"	"Sally Harry Did night"
"make"	"assure the success of"	"review play critic"
"make"	"represent fictitiously, as in a play, or pretend to be or act like"	"actress"
"make"	"consider as being"	"problem people"
"make"	"calculate as being"	"foot height"
"make"	"cause to be enjoyable or pleasurable"	"day"
"make"	"favor the development of"	"winner Practice"
"make"	"develop into"	"father splendid"
"make"	"behave in a certain way"	"merry make"
"make"	"eliminate urine"	"cat rug"
"group"	"arrange into a group or groups"	"group"
"group"	"form a group or group together"	
"investigate"	"investigate scientifically"	"syntax"
"investigate"	"conduct an inquiry or investigation of"	"lady attorney irregularity report disappearance inquire district office"
"head"	"to go or travel towards"	"mountain"
"head"	"be in charge of"	"project"
"head"	"travel in front of; go in advance of others"	"John procession"
"head"	"be the first or leading member of (a group) and excel"	"student class"
"head"	"direct the course; determine the direction of travelling"	
"head"	"take its rise"	"Himalayas range river mountain"
"head"	"be in the front of or on top of"	"name president list"
"head"	"form a head or come or grow to a head"	"wheat year"
"head"	"remove the head of"	"head fish"
"mount"	"attach to a support"	"aerator floating"
"mount"	"go up or advance"	"price Sales"
"mount"	"fix onto a backing, setting, or support"	"mount macroscopic slide analysis"
"mount"	"put up or launch"	"pornography campaign"
"mount"	"get up on the back of"	"horse"
"mount"	"go upward with gradual or continuous progress"	"Did house hill"
"mount"	"prepare and supply with the necessary equipment for execution or performance"	"attack play theater production mount"
"mount"	"copulate with"	"bull cow"
"say"	"express in words"	"name opinion state"
"say"	"report or maintain"	"money school registrar war victim crime"
"say"	"express a supposition"	"money lot truth"
"say"	"have or contain a certain wording or form"	"passage law"
"say"	"give instructions to or direct somebody to do something with authority"	"shopping child mother home"
"say"	"speak, pronounce, or utter in a certain way"	"wire word child way `zip"
"say"	"communicate or express nonverbally"	"Did anything face"
"say"	"utter aloud"	"everyone `Hello office"
"say"	"state as one's opinion or judgement; declare"	"whole business"
"say"	"recite or repeat a fixed text"	"Say Mary `Hail grace"
"say"	"indicate"	"clock noon"
"rule"	"exercise authority over; as of nations"	"country"
"rule"	"decide with authority"	"male decreed King"
"rule"	"be larger in number, quantity, power, status or importance"	"neighborhood Money Hispanics supreme"
"rule"	"decide on and make a declaration about"	"someone"
"rule"	"have an affinity with; of signs of the zodiac"	
"rule"	"mark or draw with a ruler"	"margin rule"
"rule"	"keep in check"	"rule temper"
"number"	"add up in number or quantity"	"bill"
"number"	"give numbers to"	"thesis page number"
"number"	"enumerate"	"name number mathematician"
"number"	"put into a group"	"academy Prize Nobel member winner"
"number"	"determine the number or amount of"	"change shelf book Count"
"number"	"place a limit on the number of"	
"take"	"carry out"	"action vengeance step"
"take"	"require (time or space)"	"event time hour morning"
"take"	"take somebody somewhere"	"palace chief entrance"
"take"	"get into one's hands, take physically"	"bag cookie"
"take"	"take on a certain form, attribute, or aspect"	"story form voice superiority turn god fable tone air manner"
"take"	"interpret something in a certain way; convey a particular meaning or impression"	"message credit satire address"
"take"	"take something or somebody with oneself somewhere"	"bos point box letter room"
"take"	"take into one's possession"	"Romania salmon steak orphan"
"take"	"travel or go by means of a certain kind of transportation, or a certain route"	"bus Newark"
"take"	"pick out, select, or choose from a number of alternatives"	"daughter husband card pair salesgirl shoe dozen"
"take"	"receive willingly something given or offered"	"daughter dog miller Please girl house"
"take"	"assume, as of positions or roles"	"director prince throne development position job manager"
"take"	"take into consideration for exemplifying purposes"	"case China"
"take"	"require as useful, just, or proper"	"nerve dinner dessert patience success sacrifice patient skill consent lot position intervention job work"
"take"	"experience or feel or submit to"	"test plunge"
"take"	"make a film or photograph of something"	"scene movie shoot"
"take"	"remove something concrete, as by lifting, pushing, or taking off, or remove something abstract"	"gun wrapper environment dish threat pocket machine heat table"
"take"	"serve oneself to, or consume regularly"	"sugar chicken bowl coffee soup"
"take"	"accept or undergo, often unwillingly"	"pay cut"
"take"	"make use of or accept for some purpose"	"opportunity risk"
"take"	"take by force"	"army Hitler fort Republics hill"
"take"	"occupy or take on"	"orchestra tree stage lotus pose seat strike position"
"take"	"admit into a group or community"	"member student graduate study"
"take"	"ascertain or determine by measuring, computing or take a reading from a dial"	"reading earth tremor pulse"
"take"	"be a student of a certain subject"	"exam bar"
"take"	"take as an undesirable consequence of some event or state of affairs"	"life accident toll work"
"take"	"head into a specified direction"	"convict mountain hill"
"take"	"point or cause to go (blows, weapons, or objects such as photographic equipment) towards"	"gun woman burglar opponent Please swipe brother camera"
"take"	"be seized or affected in a specified way"	"drunk sick"
"take"	"have with oneself; have on one's person"	"money umbrella gun mountain"
"take"	"engage for service under a term of contract"	"apartment street Shall guide car Rome"
"take"	"receive or obtain regularly"	"Times day"
"take"	"buy, select"	"sausage pound"
"take"	"to get into a position of having, e.g., safety, comfort"	"shelter storm"
"take"	"have sex with; archaic use"	"woman"
"take"	"lay claim to; as of an idea"	"credit idea"
"take"	"be designed to hold or take"	"dye surface"
"take"	"be capable of holding or containing"	"item flask gallon box"
"take"	"develop a habit"	"bar"
"take"	"proceed along in a vehicle"	"turnpike"
"take"	"obtain by winning"	"Winner"
"take"	"be stricken by an illness, fall victim to an illness"	"AIDS pneumonia chill"
"find"	"come upon, as if by accident; meet with"	"book day bookstore bakery idea Plato"
"find"	"discover or determine the existence, presence, or fact of"	"paint water drinking level trace lead"
"find"	"come upon after searching; find the location of something that was missed or lost"	"Did glass glove"
"find"	"establish after a calculation, investigation, experiment, survey, or study"	"Prize particle Nobel product number physicist"
"find"	"come to believe on the basis of emotion, intuitions, or indefinite grounds"	"movie"
"find"	"perceive or be contemporaneous with"	"rebellion school Republicans tradition result lot office generation"
"find"	"get something or somebody for a specific purpose"	"plumbing secretary chairman bottle gadget letter opener hold night Friday tool"
"find"	"make a discovery, make a new finding"	"particle Physicists Roentgen X-rays"
"find"	"make a discovery"	"story"
"find"	"obtain through effort or management"	"son money time parent energy care college"
"find"	"decide on and make a declaration about"	"someone"
"find"	"receive a specified treatment (abstract)"	"trouble nothing expression civilization intention movie review aspect interpretation"
"find"	"perceive oneself to be in a certain condition or place"	"hospital room situation"
"find"	"get or find back; recover the use of"	"herself voice control"
"find"	"succeed in reaching; arrive at"	"mark arrow"
"find"	"accept and make use of one's personality, abilities, and situation"	"son Berkeley"
"out"	"to state openly and publicly one's homosexuality"	"year actor"
"out"	"reveal (something) about somebody's identity or lifestyle"	"agent Someone CIA gay week actor"
"out"	"be made known; be disclosed or revealed"	"truth"
"like"	"prefer or wish to do something"	"movie dish"
"like"	"find enjoyable or agreeable"	"novel"
"like"	"be fond of"	"nephew"
"like"	"feel about or towards; consider, evaluate, or regard"	"speech President night"
"like"	"want to have"	"beer"
"value"	"fix or determine the value of; assign a value to"	"jewelry art estate value work"
"value"	"hold dear"	"photograph"
"value"	"regard highly; think much of"	"judgement creativity"
"value"	"evaluate or estimate the nature, quality, ability, extent, or significance of"	"jewel risk access family factor"
"value"	"estimate the value of"	"Romans rate Gold President chance"
"part"	"go one's own way; move apart"	"party friend"
"part"	"discontinue an association or relation; go different ways"	"tax year friend marriage business question partner couple"
"part"	"leave"	"family Florida"
"part"	"come apart"	"piece"
"part"	"force, take, or pull apart"	"Sea child Red fighting Moses"
"keep"	"keep in a certain state, position, or activity; e.g., ""keep clean"""	"lady place toe student hold"
"keep"	"continue a certain state, condition, or activity"	"night smiling midnight"
"keep"	"retain possession of"	"stuffed name maiden animal"
"keep"	"stop (someone or something) from doing something or being in a certain state"	"child marble asleep cancer"
"keep"	"conform one's action or practice to"	"contract promise condition appointment"
"keep"	"stick to correctly or closely"	"count track employee time pianist metronome"
"keep"	"look after; be the keeper of; have charge of"	"shop"
"keep"	"maintain by writing regular records"	"record note"
"keep"	"supply with room and board"	"boarder cottage guest woman"
"keep"	"allow to remain in a place or position or maintain a property or feature"	"household composure garment staff fortune grant lawyer servant shape washing family work"
"keep"	"supply with necessities and support"	"money cause family"
"keep"	"fail to spoil or rot"	"potato time"
"keep"	"behave as expected during of holidays or rites"	"Observe celebrate Kippur Christmas Yom commandment"
"keep"	"keep under control; keep in check"	"suppress cool smile temper"
"keep"	"maintain in safety from injury, harm, or danger"	"May God"
"keep"	"raise"	"chicken bee yard"
"keep"	"retain rights to"	"possibility birth seat merger job"
"keep"	"store or keep customarily"	"gardening tool"
"keep"	"have as a supply"	"refrigerator pantry freezer sixpack battery food supply week worth"
"keep"	"maintain for use and service"	"shopping apartment countryside trip Paris car"
"keep"	"hold and prevent from leaving"	"student school"
"keep"	"prevent (food) from rotting"	"meat potato"
"break"	"terminate"	"pregnancy streak cycle poverty"
"break"	"become separated into pieces or fragments"	"freshly figurine loaf"
"break"	"render inoperable or ineffective"	"alarm clock"
"break"	"ruin completely"	"radio"
"break"	"destroy the integrity of; usually by force; cause to separate into pieces or fragments"	"glass plate match"
"break"	"act in disregard of laws, rules, contracts, or promises"	"humanity promise civilization law"
"break"	"move away or escape suddenly"	"Nobody prison security horse inmate jail"
"break"	"scatter or part"	"cloud downpour"
"break"	"force out or release suddenly and often violently something pent up"	"break anger tear erupt"
"break"	"prevent completion"	"negotiation project"
"break"	"enter someone's (virtual or real) property in an unauthorized manner, usually with the intent to steal or commit a violent act"	"vacation account radio Someone night car"
"break"	"make submissive, obedient, or useful"	"intern horse"
"break"	"fail to agree with; be in violation of; as of rules or patterns"	"syntax rule sentence"
"break"	"surpass in excellence"	"record"
"break"	"make known to the public information that was previously known only to a few people or that was meant to be kept a secret"	"Gogh price actress murder van case evidence news auction truth house"
"break"	"come into being"	"horizon air Voices"
"break"	"stop operating or functioning"	"engine accident road town way eyesight bus coffee maker car"
"break"	"interrupt a continued activity"	"pattern"
"break"	"make a rupture in the ranks of the enemy or one's own by quitting or fleeing"	"rank"
"break"	"curl over and fall apart in surf or foam, of waves"	"surf"
"break"	"lessen in force or effect"	"shock fall"
"break"	"be broken in"	"stress teacher"
"break"	"come to an end"	"heat yesterday"
"break"	"vary or interrupt a uniformity or continuity"	"plain mesa"
"break"	"cause to give up a habit"	"cigarette"
"break"	"give up"	"smoking break cigarette"
"break"	"come forth or begin from a state of latency"	"York winter New storm"
"break"	"happen or take place"	"Things month"
"break"	"cause the failure or ruin of"	"peccadillo playwright marriage play"
"break"	"invalidate by judicial action"	
"break"	"discontinue an association or relation; go different ways"	"tax year friend marriage business question partner couple"
"break"	"assign to a lower position; reduce in rank"	
"break"	"reduce to bankruptcy"	"slump market daughter wedding"
"break"	"change directions suddenly"	
"break"	"emerge from the surface of a body of water"	"whale"
"break"	"break down, literally or metaphorically"	"wall business ice weight roof dam"
"break"	"do a break dance"	"corner Kids street"
"break"	"exchange for smaller units of money"	"bill candy"
"break"	"destroy the completeness of a set of related items"	"dealer set book"
"break"	"make the opening shot that scatters the balls"	
"break"	"separate from a clinch, in boxing"	"boxer"
"break"	"go to pieces"	"gear lawn chair mower"
"break"	"break a piece from a whole"	"tree branch"
"break"	"become punctured or penetrated"	"skin"
"break"	"pierce or penetrate"	"blade skin"
"break"	"be released or become known; of news"	"death News morning broke"
"break"	"cease an action temporarily"	"let break lunch station identification"
"break"	"interrupt the flow of current in"	"circuit"
"break"	"undergo breaking"	"language vowel Germanic"
"break"	"find a flaw in"	"alibi proof"
"break"	"find the solution or key to"	"code"
"break"	"change suddenly from one tone quality or register to another"	"child voice whisper"
"break"	"happen"	"time news Report movement"
"break"	"become fractured; break or crack on the surface only"	"glass"
"break"	"crack; of the male voice in puberty"	"voice choir"
"break"	"fall sharply"	"price stock"
"break"	"fracture a bone of"	"hockey foot"
"break"	"diminish or discontinue abruptly"	"patient night fever"
"break"	"weaken or destroy in spirit or body"	"man resistance near-death experience"
"launch"	"set up or found"	"literacy program"
"launch"	"propel with force"	"launch space shuttle ship"
"launch"	"launch for the first time; launch on a maiden voyage"	"launch ship"
"launch"	"begin with vigor"	"adventure diatribe"
"launch"	"get going; give impetus to"	"motion action launch career process"
"launch"	"smoothen the surface of"	"plaster launch"
"face"	"deal with (something unpleasant) head on"	"problem mistake consequence"
"face"	"oppose, as in hostility or a competition"	"boxing Smith Jackson opponent enemy ring"
"face"	"be oriented in a certain direction, often with respect to another reference point; be opposite to"	"look pond backyard building park house"
"face"	"be opposite"	"face page facing"
"face"	"turn so as to face; turn the face in a certain direction"	"Turn partner"
"face"	"present somebody with something, usually to accuse or criticize"	"evidence action dilemma"
"face"	"turn so as to expose the face"	"face playing card"
"face"	"line the edge (of a garment) with a different material"	"face jacket lapel"
"face"	"cover the front or surface of"	"stone building"
"count"	"determine the number or amount of"	"change shelf book Count"
"count"	"have weight; have import, carry weight"	
"count"	"show consideration for; take into account"	"youth lenient judge offender age"
"count"	"name or recite the numbers in ascending order"	"toddler"
"count"	"put into a group"	"academy Prize Nobel member winner"
"count"	"include as if by counting"	"colleague opposition"
"count"	"have a certain value or carry a certain weight"	"answer point"
"count"	"have faith or confidence in"	"time crisis friend family support"
"count"	"take account of"	"opponent monsoon Count"
"regard"	"deem to be"	"situation"
"regard"	"look at attentively"	
"regard"	"connect closely and often incriminatingly"	"ruling business"
"charge"	"to make a rush at or sudden attack upon, as in battle"	"Jess pitchfork"
"charge"	"blame for, make a claim of wrongdoing or misbehavior against"	"director indifference"
"charge"	"demand payment"	"service night hotel"
"charge"	"move quickly and violently"	"office car street"
"charge"	"assign a duty, responsibility or obligation to"	"creation concordance deputy manager"
"charge"	"file a formal charge against"	"suspect wife"
"charge"	"make an accusatory claim"	"attorney defense juror"
"charge"	"fill or load to capacity"	"wagon hay charge"
"charge"	"enter a certain amount as a charge"	
"charge"	"cause to be admitted; of persons to an institution"	"episode prison"
"charge"	"give over to another for care or safekeeping"	"baggage"
"charge"	"pay with a credit card; pay with plastic money; postpone payment by recording a purchase as a debt"	"purchase cash charge"
"charge"	"lie down on command, of hunting dogs"	
"charge"	"cause to be agitated, excited, or roused"	"inflammatory speaker crowd remark"
"charge"	"place a heraldic bearing on"	"shield charge banner weapon"
"charge"	"provide (a device) with something necessary"	"gun camera load"
"charge"	"direct into a position for use"	"gun point weapon"
"charge"	"impose a task upon, assign a responsibility to"	"file weekend"
"charge"	"instruct (a jury) about the law, its application, and the weighing of evidence"	
"charge"	"instruct or command with authority"	"child poem teacher"
"charge"	"attribute responsibility to"	"tragedy accident inexperience"
"charge"	"set or ask for a certain price"	"lunch massage fellow"
"charge"	"cause formation of a net electrical charge in or on"	"charge conductor"
"charge"	"energize a battery by passing a current through it in the direction opposite to discharge"	"battery car"
"charge"	"saturate"	"tension room anxiety"
"blunt"	"make less intense"	"emotion"
"blunt"	"make numb or insensitive"	"shock sens"
"blunt"	"make dull or blunt"	"edge knife"
"blunt"	"make less sharp"	"knife"
"blunt"	"make less lively, intense, or vigorous; impair in vigor, force, activity, or sensation"	"Terror feeling sound"
"do"	"engage in"	"nothing effort love research war revolution"
"do"	"carry out or perform an action"	"skater weeding gutter painting dance John pirouette"
"do"	"get (something) done"	"job"
"do"	"proceed or get along"	"way job graduate school"
"do"	"give rise to; cause to happen or occur, not always intentionally"	"accident stir cause commotion"
"do"	"carry out or practice; as of jobs and professions"	"practice law"
"do"	"be sufficient; be adequate, either in quality or quantity"	"purpose grade word suit school do Nothing 'B car"
"do"	"create or design, often in a certain way"	"piece love forest room wood"
"do"	"behave in a certain manner; show a certain behavior; conduct or comport oneself"	"adult way dog fool people"
"do"	"spend time in prison or in a labor camp"	"year embezzlement"
"do"	"carry on or function"	"help"
"do"	"arrange attractively"	"hair wedding dress"
"do"	"travel or traverse (a distance)"	"hour day hike mile car"
"earnings"	"earn on some commercial or business transaction; earn as salary or wages"	"lot merger money month job"
"earnings"	"acquire or deserve by one's efforts or actions"	
"book"	"engage for a performance"	"concert agent Tokyo"
"book"	"arrange for and reserve (something for someone else) in advance"	"show agent please ticket seat flight Maxim table family"
"book"	"record a charge in a police register"	"policeman man"
"book"	"register in a hotel booker"	
"acknowledge"	"declare to be true or admit the existence or reality or truth of"	"error"
"acknowledge"	"report the receipt of"	"program committee paper submission author"
"acknowledge"	"express recognition of the presence or existence of, or acquaintance with"	"colleague hallway writing smile others complement work"
"acknowledge"	"express obligation, thanks, or gratitude for"	"towards kindness"
"acknowledge"	"accept as legally binding and valid"	"deed"
"acknowledge"	"accept (someone) to be what is claimed or accept his power and authority"	"throne Prince heir god Crown"
"see"	"perceive by sight or have the power to perceive by sight"	"bird detail tree observer"
"see"	"perceive (an idea or situation) mentally"	"idea point decision"
"see"	"perceive or be contemporaneous with"	"rebellion school Republicans tradition result lot office generation"
"see"	"imagine; conceive of; see in one's mind"	"strategy risk horseback"
"see"	"deem to be"	"situation"
"see"	"get to know or become aware of, usually accidentally"	"child"
"see"	"see or watch"	"Broadway show program exhibition television movie view world"
"see"	"come together"	"meeting"
"see"	"find out, learn, or determine with certainty, usually by making an inquiry or other effort"	"time train"
"see"	"be careful or certain to do something; make certain of something"	"valve quality product curtain"
"see"	"go to see for professional or business reasons"	"lawyer psychiatrist"
"see"	"go to see for a social visit"	"day friend Mary"
"see"	"go to see a place, as for entertainment"	"Eiffel Tower morning"
"see"	"take charge of or deal with"	"matter care lunch business"
"see"	"receive as a specified guest"	"noon anybody minister doctor"
"see"	"date regularly; have a steady relationship with"	"Did wife man"
"see"	"see and understand, have a good eye"	"learn artist"
"see"	"deliberate or decide"	"let see tomorrow movie"
"see"	"observe as if with an eye"	"burglary camera"
"see"	"observe, check out, and look over carefully or inspect"	"country custom baggage agent passport"
"see"	"go or live through"	"action Nam trial Viet"
"see"	"accompany or escort"	"door"
"see"	"match or meet"	"player bet"
"see"	"make sense of; assign a meaning to"	"behavior message letter"
"sort"	"examine in order to test suitability"	"applicant screen job sample"
"sort"	"arrange or order by classes or categories"	"pottery shard"
"pay"	"give money, usually in exchange for goods or services"	"sandwich waitress dollar"
"pay"	"convey, as of a compliment, regards, attention, etc.; bestow"	"pay order attention mind regard"
"pay"	"cancel or discharge a debt"	"please"
"pay"	"bring in"	"saving account"
"pay"	"do or give something to somebody in return"	"work"
"pay"	"dedicate"	"priority pay thought attention"
"pay"	"be worth it"	"trouble"
"pay"	"render"	"call visit"
"pay"	"bear (a cost or penalty), in recompense for some action"	"penalty opinion"
"pay"	"make a compensation for"	"favor"
"pay"	"discharge or settle"	"debt obligation"
"point"	"indicate a place, direction, person, or thing; either spatially or figuratively"	"opponent section space glove customer parking"
"point"	"be oriented"	"point vane toe weather dancer"
"point"	"direct into a position for use"	"gun point weapon"
"point"	"direct the course; determine the direction of travelling"	
"point"	"be a signal for or a symptom of"	"behavior symptom illness point neurosis indicator euro"
"point"	"sail close to the wind"	
"point"	"mark (Hebrew words) with diacritics"	
"point"	"mark with diacritics"	"letter point"
"point"	"mark (a psalm text) to indicate the points at which the music changes"	
"point"	"be positionable in a specified manner"	"gun ease point"
"point"	"intend (something) to move towards a certain goal"	"towards face opponent others criticism fist anger"
"point"	"indicate the presence of (game) by standing and pointing with the muzzle"	"duck dog"
"point"	"give a point to"	"candle"
"point"	"repair the joints of bricks"	"point chimney"
"decide"	"reach, make, or come to a decision about something"	"deliberation"
"decide"	"bring to an end; settle conclusively"	"son plaintiff inheritance favor father judge case"
"decide"	"cause to decide"	"development"
"decide"	"influence or determine"	"New outcome Presidential Hampshire election vote"
"will"	"decree or ordain"	"existence God"
"will"	"determine by choice"	"action"
"will"	"leave or give by will after one's death"	"jewelry aunt estate grandfather"
"impose"	"compel to behave in a certain way"	"courtesy relation"
"impose"	"impose something unpleasant"	"rage student principal"
"impose"	"impose and collect"	
"learn"	"gain knowledge or skills"	"rate Children language Sanskrit sister"
"learn"	"get to know or become aware of, usually accidentally"	"child"
"learn"	"commit to memory; learn by heart"	"line play"
"learn"	"be a student of a certain subject"	"exam bar"
"learn"	"impart skills or knowledge to"	"boat"
"learn"	"find out, learn, or determine with certainty, usually by making an inquiry or other effort"	"time train"
"go"	"change location; move, travel, or proceed, also metaphorically"	"suspect door policeman Naples city attempt news night bus soldier car Rome"
"go"	"follow a procedure or take a course"	"trouble Messages matter world channel lot manner"
"go"	"move away from a place into another direction"	"noon departs train"
"go"	"enter or assume a certain state or condition"	"anger news face ecstasy"
"go"	"be awarded; be allotted"	"money prize clothes Mary"
"go"	"have a particular form"	"run saying story argument"
"go"	"stretch out over a distance, space, time, or scope; run or extend between two points or beyond a certain point"	"consideration memory year fact way asset life knowledge Service"
"go"	"follow a certain course"	"inauguration interview"
"go"	"be abolished or discarded"	"Rouge billboard luxury Khmer"
"go"	"be or continue to be in a certain condition"	"day child"
"go"	"make a certain noise or sound"	"gun `bang `Mmmmm"
"go"	"perform as expected when applied"	"machine radio washing car"
"go"	"to be spent or finished"	"gas day station Midwest money Gas"
"go"	"progress by being changed"	"presentation draft speech meeting"
"go"	"continue to live through hardship or adversity"	"accident person driver car water day race backwater food superstition America"
"go"	"pass, fare, or elapse; of a certain state of affairs or action"	"day call"
"go"	"pass from physical life and lose all bodily attributes and functions necessary to sustain life"	"guy child cancer patient fire bucket age"
