word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance
hum,3,5,homonyms_also_same_pos,7,0.16666666666666666,3,1,abs-n,ooc,False,OOV/OOW,0.2752284752284752,5.073400673400673
paralysed,0,0,oov,2,0.18181818181818182,0,0,-,False,False,OOWN,0.18181818181818182,1.6363636363636362
propellant,2,4,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN,,
festal,1,1,mon,1,1.0,0,0,-,ooc,False,0.6546043916027623,1.0,0.0
thirteen,1,1,mon,2,None,0,0,abs,False,False,OOV/OOW,,
masterstroke,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0
resultant,1,1,mon,4,0.23529411764705882,1,0,abs,ooc,False,0.46112383880327923,0.2921065862242333,2.8315736551030666
35-6,0,0,oov,0,None,0,0,-,False,False,OOWN,,
housekeeper,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
resurgence,1,1,mon,1,1.0,0,0,abs,False,False,0.5022004449175042,1.0,0.0
celia,0,0,oov,0,None,0,0,-,False,False,OOWN,,
Afro,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
r *31 sum *31,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
postmark,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,OOWN,,
stockpile,2,2,homonyms_only_different_pos,3,0.2222222222222222,1,1,abs,ooc,False,OOWN,0.2222222222222222,2.3333333333333335
gloaming,1,1,mon,1,1.0,0,0,abs,ooc,False,0.5330070275448107,1.0,0.0
crepe,1,4,poly,4,0.25,0,0,abs-conc,ooc,False,OOV/OOW,0.30357142857142855,2.7857142857142856
codling,2,2,homonyms_also_same_pos,1,1.0,0,0,conc,ooc,False,1.0000000000000002,1.0,0.0
X - ray,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,
pickings,1,2,poly,15,0.16666666666666666,0,0,abs,ooc,False,OOV/OOW,0.24382599970835253,11.342610004374713
shekels,1,1,mon,2,0.375,0,0,abs,ooc,False,0.2336558521646767,0.375,1.25
trench,2,4,homonyms_only_different_pos,9,0.16666666666666666,4,0,conc,ooc,False,OOV/OOW,0.2595578803912138,6.663979076479077
eyes,1,20,poly,7,0.11764705882352941,0,0,abs-conc,ooc,False,0.14694946299131326,0.2323202614379085,5.37375816993464
magic eye,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
providence,1,2,poly,4,0.1,1,0,abs-n,ooc,False,OOV/OOW,0.20027806444215113,3.1988877422313955
tailor,2,3,homonyms_only_different_pos,4,0.18181818181818182,2,3,conc,True,False,0.1253145161076292,0.20134680134680136,3.1946127946127945
heartfelt,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0
sufficiently,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000018,1.0,0.0
anteater,1,1,mon,6,0.7407407407407407,1,0,conc,ooc,False,0.2294914850433003,0.8065925925925926,1.1604444444444442
deface,1,2,poly,1,1.0,1,0,-,ooc,False,0.5642377537871418,1.0,0.0
Whoopi Goldberg,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
muggins,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
tush,1,1,mon,1,1.0,0,0,conc,ooc,False,0.31359145237893427,1.0,0.0
rushes,1,1,mon,14,0.08695652173913043,0,0,abs-conc-n,ooc,False,-0.001266403507429167,0.23936740701518688,10.648856301787383
run off,1,4,poly,0,None,0,0,-,ooc,False,OOWN,,
representation,1,2,poly,10,0.11764705882352941,3,0,abs-conc,False,False,OOV/OOW,0.32704024733436515,6.729597526656348
satiety,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0
urchin,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0
blunt,2,3,homonyms_only_different_pos,9,0.25,2,3,-,True,False,OOV/OOW,0.29642857142857143,6.332142857142856
gestalt,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0
houseful,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
sweater,1,2,poly,2,0.47058823529411764,1,0,conc,False,False,OOV/OOW,0.47058823529411764,1.0588235294117647
land agent,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Memorial Day,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
reverent,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,
release,2,10,homonyms_only_different_pos,22,0.10526315789473684,7,17,abs-conc,True,False,0.07048589962781403,0.307494957959354,15.235110924894212
- age,1,6,poly,0,None,0,0,-,ooc,False,OOWN,,
boracic acid,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
rave about,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
rectangular,1,1,mon,2,None,1,0,-,False,False,OOWN,,
nectar,1,3,poly,3,0.375,2,0,abs-conc,ooc,False,OOWN,0.47368421052631576,1.5789473684210529
SW,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
offend,1,3,poly,4,0.18181818181818182,2,3,-,ooc,False,OOV/OOW,0.2595478595478595,2.961808561808562
flesh,1,9,poly,4,0.25,1,0,conc,False,False,0.05787968211684094,0.3944444444444444,2.4222222222222225
tablemat,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Gee up,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
filmable,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
stub out,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
lascivious,1,1,mon,1,1.0,0,0,-,True,False,0.6331173044500205,1.0,0.0
understudy,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN,,
rid,0,0,oov,1,0.5,0,1,-,True,False,1.0000000000000013,1.0,0.0
Dispersion,1,1,mon,3,0.2,0,0,abs,ooc,False,OOV/OOW,0.27121212121212124,2.1863636363636365
Prussian blue,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
teat,1,2,poly,1,1.0,0,0,conc,ooc,False,0.5609362824246731,1.0,0.0
finance,2,2,homonyms_only_different_pos,5,0.2222222222222222,2,5,abs,True,False,OOWN,0.3410818713450292,3.294590643274854
cephalic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0
tiller,1,1,mon,5,0.4,3,0,conc,ooc,False,OOWN,0.43333333333333335,2.833333333333333
motoring,1,1,mon,2,None,0,0,abs,False,False,OOWN,,
pot roast,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
welcoming,0,0,oov,4,0.2,0,0,-,False,False,OOWN,0.23597883597883595,3.056084656084656
borderline,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.0787315380120114,,
outlast,1,1,mon,1,0.5,0,0,-,ooc,False,0.5977261475877866,1.0,0.0
blaze,5,9,homonyms_also_same_pos,10,0.1,4,4,abs-conc,True,False,OOV/OOW,0.19898804798572597,8.01011952014274
hurricane,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000016,1.0,0.0
lotus - eater,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
tangible,1,2,poly,4,None,1,0,-,ooc,False,OOV/OOW,,
oarsmanship,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
baddeley,0,0,oov,0,None,0,0,-,False,False,OOWN,,
immortality,1,2,poly,2,0.25,0,0,abs,ooc,False,OOWN,0.25,1.5
interposition,1,2,poly,2,0.5882352941176471,1,0,abs,ooc,False,OOWN,0.5882352941176471,0.8235294117647058
send,1,9,poly,8,0.16666666666666666,2,5,-,True,False,0.08171675714245916,0.29966759431045137,5.602659245516389
attain to,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
short - change,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
buy up,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
gain on,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
paints,1,1,mon,7,0.2222222222222222,0,0,abs-conc,ooc,False,OOWN,0.30886243386243384,4.837962962962963
blow - by - blow,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
mutable,1,1,mon,1,1.0,0,0,-,ooc,False,0.9999999999999996,1.0,0.0
pin down,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
Sexagesima,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
visitation,1,3,poly,3,0.4444444444444444,2,0,abs,ooc,False,0.08562549198566265,0.5403050108932462,1.3790849673202614
hotpot,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
much,2,21,homonyms_only_different_pos,7,None,1,0,abs,False,False,OOV/OOW,,
soldiery,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000002,1.0,0.0
consult with,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
new moon,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
doubles,1,1,mon,13,0.1,0,0,abs-conc,ooc,False,OOV/OOW,0.26178050344717013,9.596853455186789
forestall,1,2,poly,2,0.4,1,0,-,ooc,False,OOWN,0.4,1.2
akenfield,0,0,oov,0,None,0,0,-,False,False,OOWN,,
braille,1,1,mon,3,0.125,1,0,abs-n,ooc,False,OOV/OOW,0.125,2.625
inaugurate,1,3,poly,3,0.25,1,0,-,False,False,OOV/OOW,0.36904761904761907,1.8928571428571428
hasp,1,1,mon,2,None,0,0,conc,ooc,False,OOWN,,
mark,3,27,homonyms_also_same_pos,30,0.10526315789473684,11,20,abs-conc-n,True,False,0.11029680977818934,0.2630493273250902,22.108520180247293
ribbon development,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
hectic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0
competition,1,4,poly,4,0.16666666666666666,1,4,abs-conc,False,False,0.265600234089887,0.3181818181818182,2.7272727272727275
retrieval system,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
v,1,6,poly,5,0.23529411764705882,0,0,abs,False,False,OOV/OOW,0.2843137254901961,3.5784313725490193
relativism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0
in lieu of,0,0,oov,0,None,0,0,-,False,False,OOWN,,
finished,1,3,poly,11,0.25,0,0,-,ooc,False,OOV/OOW,0.3195238095238095,7.4852380952380955
breach,2,5,homonyms_only_different_pos,5,0.2222222222222222,3,4,abs,ooc,False,OOV/OOW,0.2847222222222222,3.576388888888889
dale,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000004,1.0,0.0
audio -,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
PA,1,2,poly,5,0.1111111111111111,1,0,abs-conc-n,ooc,False,OOV/OOW,0.22524263023287117,3.8737868488356444
reckon in,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False,OOWN,,
sheep,1,5,poly,3,0.48,2,0,conc,False,False,OOWN,0.5422222222222222,1.3733333333333335
shalom,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
ancestor,1,1,mon,1,1.0,0,1,conc,ooc,False,1.0000000000000013,1.0,0.0
drift,2,7,homonyms_only_different_pos,17,0.1111111111111111,8,7,abs-conc,True,False,0.16282630093830214,0.2558183127033394,12.65108868404323
fade in,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
trifle,1,4,poly,6,0.1111111111111111,3,0,abs-conc,ooc,False,0.07625854206613124,0.20292207792207792,4.782467532467532
obbligato,1,1,mon,2,0.625,1,0,abs,ooc,False,OOWN,0.625,0.75
covering letter,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
forger,1,1,mon,2,0.5454545454545454,0,0,conc,ooc,False,0.28112330581755807,0.5454545454545454,0.9090909090909092
dense,1,4,poly,4,None,2,0,-,True,False,OOWN,,
punch bowl,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
patterned,0,0,oov,3,0.2222222222222222,0,0,-,False,False,OOWN,0.2222222222222222,2.3333333333333335
puffy,1,2,poly,3,None,2,0,-,ooc,False,0.04992698810632958,,
coadjutor,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
well - appointed,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
theory,1,4,poly,3,0.47058823529411764,1,0,abs,False,False,OOWN,0.545751633986928,1.3627450980392157
rough out,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
creeper,1,3,poly,3,0.5454545454545454,2,0,conc,False,False,OOWN,0.6075884899414311,1.1772345301757068
misfire,2,5,homonyms_only_different_pos,3,0.8,1,0,abs,ooc,False,OOWN,0.8,0.5999999999999999
feasible,1,1,mon,1,1.0,0,0,-,ooc,False,0.5111307660566433,1.0,0.0
belgium,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW,1.0,0.0
polyanthus,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0
water,2,27,homonyms_only_different_pos,10,0.18181818181818182,6,12,abs-conc,False,False,0.2743843182032962,0.349777490025168,6.50222509974832
bullfinch,1,1,mon,2,0.5,1,0,conc-n,ooc,False,OOV/OOW,0.5,1.0
UHF,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
conscript,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.1916860067661471,,
wader,1,3,poly,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
Magi,1,1,mon,3,0.15384615384615385,0,0,conc-n,ooc,False,OOWN,0.2973137973137973,2.1080586080586077
sextuplet,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
adaptation,1,2,poly,3,0.14285714285714285,1,0,abs-conc,False,False,0.7556750092907789,0.1971139971139971,2.4086580086580085
break away,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
rubberize,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
escapism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0
server,1,4,poly,4,0.38095238095238093,2,0,conc,ooc,False,OOWN,0.4675020885547201,2.1299916457811197
poverty - stricken,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
Greater,1,2,poly,7,None,0,0,-,ooc,False,OOV/OOW,,
Wellington,0,0,oov,3,0.2857142857142857,1,0,conc-n,ooc,True,OOV/OOW,0.32857142857142857,2.0142857142857142
automaton,1,2,poly,2,0.4444444444444444,1,0,conc,ooc,False,0.27256806694379776,0.4444444444444444,1.1111111111111112
pullulate,1,1,mon,5,0.14285714285714285,1,4,-,ooc,False,OOV/OOW,0.2216905316905317,3.891547341547341
weak,1,6,poly,12,None,4,0,-,True,False,OOV/OOW,,
imminent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000007,1.0,0.0
RNA,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
refuel,1,1,mon,2,0.16666666666666666,1,0,-,ooc,False,OOWN,0.16666666666666666,1.6666666666666667
riffraff,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0
militarize,1,3,poly,2,0.3333333333333333,1,0,-,ooc,False,OOWN,0.3333333333333333,1.3333333333333335
fearful,1,3,poly,5,None,1,0,-,True,False,0.21678752566509144,,
- shaven,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
carve,1,6,poly,3,0.75,2,4,-,True,False,OOV/OOW,0.75,0.75
civet,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0
haft,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000022,1.0,0.0
inundate,1,1,mon,2,0.2222222222222222,2,0,-,ooc,False,OOWN,0.2222222222222222,1.5555555555555556
fraternal,1,2,poly,3,None,2,0,-,ooc,False,OOV/OOW,,
babel,1,1,mon,2,0.09523809523809523,1,0,abs-n,ooc,False,OOV/OOW,0.09523809523809523,1.8095238095238095
circular,2,5,homonyms_only_different_pos,3,None,1,0,abs,False,False,0.09946536732105463,,
appendectomy,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0
nutrient,1,1,mon,3,0.8,0,1,conc,ooc,False,0.39381701100157834,0.8,0.5999999999999999
sylphlike,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
diptych,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
intermittent,1,1,mon,1,1.0,1,0,-,ooc,False,1.0,1.0,0.0
inverse,1,2,poly,3,None,1,0,abs,False,False,OOWN,,
expansion,1,2,poly,4,0.25,1,5,abs,True,False,OOV/OOW,0.46613756613756613,2.1354497354497353
surreal,1,1,mon,2,None,1,0,-,False,False,0.46199631346089387,,
sobriquet,1,1,mon,1,1.0,0,0,abs,ooc,False,0.48186993340613543,1.0,0.0
reaping hook,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
whence,1,4,poly,1,1.0,0,0,-,False,False,1.0000000000000013,1.0,0.0
mastery,1,1,mon,3,0.26666666666666666,2,0,abs,ooc,False,0.25719169471569553,0.38925518925518926,1.8322344322344324
felicitate,1,1,mon,1,1.0,0,0,-,ooc,False,1.000000000000001,1.0,0.0
adamant,2,2,homonyms_only_different_pos,2,None,0,0,abs,False,False,0.1264456910927861,,
bowdlerize,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0
skidlid,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
capture,2,6,homonyms_only_different_pos,11,0.125,4,11,abs-conc,True,False,0.11962117732017995,0.3009579831932772,7.6894621848739515
majolica,1,1,mon,1,1.0,0,0,conc,ooc,False,0.7235568807914438,1.0,0.0
field gun,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
obscene,1,1,mon,3,None,1,0,-,ooc,False,0.2538916993363528,,
Kanye West,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,
20ft,0,0,oov,0,None,0,0,-,False,False,OOWN,,
quadrangular,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009,1.0,0.0
good - for - nothing,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
1896,0,0,oov,0,None,0,0,-,False,False,OOWN,,
Dutch treat,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
crossing,1,4,poly,15,0.1,2,8,abs-conc,False,False,0.17344885088112952,0.2648444126235242,11.027333810647137
cut - and - dried,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,
analysis,1,4,poly,6,0.2,4,7,abs,False,False,0.25375184364543407,0.30590414241188235,4.164575145528706
appetizer,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0
donor,1,2,poly,2,0.9,1,0,conc,ooc,False,OOV/OOW,0.9,0.19999999999999996
such as,0,0,oov,0,None,0,0,-,False,False,OOWN,,
wank,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW,,
strike pay,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,
