word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word,av_wup_sim,n_syns_wup_distance,wiki_frequency,wn_noun
peaked,2,2,homonyms_also_same_pos,3,None,2,0,-,ooc,False,0.024927782047824767,,,63766,False
theoretically,1,2,poly,2,None,0,0,-,ooc,False,OOWN,,,7306,False
magnetic,1,1,mon,5,None,2,0,-,False,False,0.08320434451846098,,,39712,False
bodily,2,2,homonyms_only_different_pos,4,None,1,0,-,ooc,False,0.30715264427138683,,,6259,False
hum,3,5,homonyms_also_same_pos,7,0.16666666666666666,3,1,abs-n,ooc,False,OOV/OOW,0.2752284752284752,5.073400673400673,5008,True
paralysed,0,0,oov,2,0.18181818181818182,0,0,-,False,False,OOWN,0.18181818181818182,1.6363636363636362,1471,False
propellant,2,4,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN,,,5038,True
festal,1,1,mon,1,1.0,0,0,-,ooc,False,0.6546043916027623,1.0,0.0,187,False
thirteen,1,1,mon,2,None,0,0,abs,False,False,OOV/OOW,,,42177,True
masterstroke,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016,1.0,0.0,168,True
resultant,1,1,mon,4,0.23529411764705882,1,0,abs,ooc,False,0.46112383880327923,0.2921065862242333,2.8315736551030666,5680,True
35-6,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
housekeeper,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0,3266,True
resurgence,1,1,mon,1,1.0,0,0,abs,False,False,0.5022004449175042,1.0,0.0,6526,True
celia,0,0,oov,0,None,0,0,-,False,False,OOWN,,,4083,False
Afro,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
r *31 sum *31,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
postmark,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,OOWN,,,412,True
stockpile,2,2,homonyms_only_different_pos,3,0.2222222222222222,1,1,abs,ooc,False,OOWN,0.2222222222222222,2.3333333333333335,1550,True
gloaming,1,1,mon,1,1.0,0,0,abs,ooc,False,0.5330070275448107,1.0,0.0,138,True
crepe,1,4,poly,4,0.25,0,0,abs-conc,ooc,False,OOV/OOW,0.30357142857142855,2.7857142857142856,426,True
codling,2,2,homonyms_also_same_pos,1,1.0,0,0,conc,ooc,False,1.0000000000000002,1.0,0.0,247,True
X - ray,1,3,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
pickings,1,2,poly,15,0.16666666666666666,0,0,abs,ooc,False,OOV/OOW,0.24382599970835253,11.342610004374713,199,True
shekels,1,1,mon,2,0.375,0,0,abs,ooc,False,0.2336558521646767,0.375,1.25,392,True
trench,2,4,homonyms_only_different_pos,9,0.16666666666666666,4,0,conc,ooc,False,OOV/OOW,0.2595578803912138,6.663979076479077,12359,True
eyes,1,20,poly,7,0.11764705882352941,0,0,abs-conc,ooc,False,0.14694946299131326,0.2323202614379085,5.37375816993464,78628,True
magic eye,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
providence,1,2,poly,4,0.1,1,0,abs-n,ooc,False,OOV/OOW,0.20027806444215113,3.1988877422313955,21436,True
tailor,2,3,homonyms_only_different_pos,4,0.18181818181818182,2,3,conc,True,False,0.1253145161076292,0.20134680134680136,3.1946127946127945,5764,True
heartfelt,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0,2221,False
sufficiently,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000018,1.0,0.0,17362,False
anteater,1,1,mon,6,0.7407407407407407,1,0,conc,ooc,False,0.2294914850433003,0.8065925925925926,1.1604444444444442,417,True
deface,1,2,poly,1,1.0,1,0,-,ooc,False,0.5642377537871418,1.0,0.0,188,False
Whoopi Goldberg,0,0,oov,0,None,0,0,-,ooc,True,OOWN,,,OOV,False
muggins,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
tush,1,1,mon,1,1.0,0,0,conc,ooc,False,0.31359145237893427,1.0,0.0,287,True
rushes,1,1,mon,14,0.08695652173913043,0,0,abs-conc-n,ooc,False,-0.001266403507429167,0.23936740701518688,10.648856301787383,7363,True
run off,1,4,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
representation,1,2,poly,10,0.11764705882352941,3,0,abs-conc,False,False,OOV/OOW,0.32704024733436515,6.729597526656348,56624,True
satiety,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0,296,True
urchin,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009,1.0,0.0,1454,True
blunt,2,3,homonyms_only_different_pos,9,0.25,2,3,-,True,False,OOV/OOW,0.29642857142857143,6.332142857142856,9061,False
gestalt,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009,1.0,0.0,1534,True
houseful,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
sweater,1,2,poly,2,0.47058823529411764,1,0,conc,False,False,OOV/OOW,0.47058823529411764,1.0588235294117647,1831,True
land agent,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
Memorial Day,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
reverent,1,1,mon,2,None,1,0,-,ooc,False,OOWN,,,438,False
release,2,10,homonyms_only_different_pos,22,0.10526315789473684,7,17,abs-conc,True,False,0.07048589962781403,0.307494957959354,15.235110924894212,382760,True
- age,1,6,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
boracic acid,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
rave about,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
rectangular,1,1,mon,2,None,1,0,-,False,False,OOWN,,,22156,False
nectar,1,3,poly,3,0.375,2,0,abs-conc,ooc,False,OOWN,0.47368421052631576,1.5789473684210529,5782,True
SW,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
offend,1,3,poly,4,0.18181818181818182,2,3,-,ooc,False,OOV/OOW,0.2595478595478595,2.961808561808562,1903,False
flesh,1,9,poly,4,0.25,1,0,conc,False,False,0.05787968211684094,0.3944444444444444,2.4222222222222225,16130,True
tablemat,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
Gee up,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
filmable,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
stub out,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
lascivious,1,1,mon,1,1.0,0,0,-,True,False,0.6331173044500205,1.0,0.0,499,False
understudy,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN,,,2229,True
rid,0,0,oov,1,0.5,0,1,-,True,False,1.0000000000000013,1.0,0.0,11145,False
Dispersion,1,1,mon,3,0.2,0,0,abs,ooc,False,OOV/OOW,0.27121212121212124,2.1863636363636365,OOV,True
Prussian blue,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
teat,1,2,poly,1,1.0,0,0,conc,ooc,False,0.5609362824246731,1.0,0.0,242,True
finance,2,2,homonyms_only_different_pos,5,0.2222222222222222,2,5,abs,True,False,OOWN,0.3410818713450292,3.294590643274854,76045,True
cephalic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0,644,False
tiller,1,1,mon,5,0.4,3,0,conc,ooc,False,OOWN,0.43333333333333335,2.833333333333333,1580,True
motoring,1,1,mon,2,None,0,0,abs,False,False,OOWN,,,2280,True
pot roast,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
welcoming,0,0,oov,4,0.2,0,0,-,False,False,OOWN,0.23597883597883595,3.056084656084656,4980,False
borderline,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.0787315380120114,,,2897,True
outlast,1,1,mon,1,0.5,0,0,-,ooc,False,0.5977261475877866,1.0,0.0,441,False
blaze,5,9,homonyms_also_same_pos,10,0.1,4,4,abs-conc,True,False,OOV/OOW,0.19898804798572597,8.01011952014274,7482,True
hurricane,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000016,1.0,0.0,54758,True
lotus - eater,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
tangible,1,2,poly,4,None,1,0,-,ooc,False,OOV/OOW,,,4073,False
oarsmanship,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
baddeley,0,0,oov,0,None,0,0,-,False,False,OOWN,,,664,False
immortality,1,2,poly,2,0.25,0,0,abs,ooc,False,OOWN,0.25,1.5,5105,True
interposition,1,2,poly,2,0.5882352941176471,1,0,abs,ooc,False,OOWN,0.5882352941176471,0.8235294117647058,257,True
send,1,9,poly,8,0.16666666666666666,2,5,-,True,False,0.08171675714245916,0.29966759431045137,5.602659245516389,55333,False
attain to,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
short - change,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
buy up,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
gain on,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
paints,1,1,mon,7,0.2222222222222222,0,0,abs-conc,ooc,False,OOWN,0.30886243386243384,4.837962962962963,6280,True
blow - by - blow,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
mutable,1,1,mon,1,1.0,0,0,-,ooc,False,0.9999999999999996,1.0,0.0,399,False
pin down,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
Sexagesima,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
visitation,1,3,poly,3,0.4444444444444444,2,0,abs,ooc,False,0.08562549198566265,0.5403050108932462,1.3790849673202614,4332,True
hotpot,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
much,2,21,homonyms_only_different_pos,7,None,1,0,abs,False,False,OOV/OOW,,,598498,True
soldiery,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000002,1.0,0.0,375,True
consult with,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
new moon,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
doubles,1,1,mon,13,0.1,0,0,abs-conc,ooc,False,OOV/OOW,0.26178050344717013,9.596853455186789,43878,True
forestall,1,2,poly,2,0.4,1,0,-,ooc,False,OOWN,0.4,1.2,1086,False
akenfield,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
braille,1,1,mon,3,0.125,1,0,abs-n,ooc,False,OOV/OOW,0.125,2.625,4660,True
inaugurate,1,3,poly,3,0.25,1,0,-,False,False,OOV/OOW,0.36904761904761907,1.8928571428571428,770,False
hasp,1,1,mon,2,None,0,0,conc,ooc,False,OOWN,,,OOV,True
mark,3,27,homonyms_also_same_pos,30,0.10526315789473684,11,20,abs-conc-n,True,False,0.11029680977818934,0.2630493273250902,22.108520180247293,220283,True
ribbon development,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
hectic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004,1.0,0.0,1386,False
competition,1,4,poly,4,0.16666666666666666,1,4,abs-conc,False,False,0.265600234089887,0.3181818181818182,2.7272727272727275,275631,True
retrieval system,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
v,1,6,poly,5,0.23529411764705882,0,0,abs,False,False,OOV/OOW,0.2843137254901961,3.5784313725490193,OOV,True
relativism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013,1.0,0.0,1076,True
in lieu of,0,0,oov,0,None,0,0,-,False,False,OOWN,,,OOV,False
finished,1,3,poly,11,0.25,0,0,-,ooc,False,OOV/OOW,0.3195238095238095,7.4852380952380955,310603,False
breach,2,5,homonyms_only_different_pos,5,0.2222222222222222,3,4,abs,ooc,False,OOV/OOW,0.2847222222222222,3.576388888888889,16297,True
dale,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000004,1.0,0.0,23586,True
audio -,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
PA,1,2,poly,5,0.1111111111111111,1,0,abs-conc-n,ooc,False,OOV/OOW,0.22524263023287117,3.8737868488356444,OOV,True
reckon in,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
sheep,1,5,poly,3,0.48,2,0,conc,False,False,OOWN,0.5422222222222222,1.3733333333333335,32022,True
shalom,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,3075,False
ancestor,1,1,mon,1,1.0,0,1,conc,ooc,False,1.0000000000000013,1.0,0.0,17857,True
drift,2,7,homonyms_only_different_pos,17,0.1111111111111111,8,7,abs-conc,True,False,0.16282630093830214,0.2558183127033394,12.65108868404323,11460,True
fade in,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
trifle,1,4,poly,6,0.1111111111111111,3,0,abs-conc,ooc,False,0.07625854206613124,0.20292207792207792,4.782467532467532,544,True
obbligato,1,1,mon,2,0.625,1,0,abs,ooc,False,OOWN,0.625,0.75,375,True
covering letter,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
forger,1,1,mon,2,0.5454545454545454,0,0,conc,ooc,False,0.28112330581755807,0.5454545454545454,0.9090909090909092,824,True
dense,1,4,poly,4,None,2,0,-,True,False,OOWN,,,24691,False
punch bowl,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
patterned,0,0,oov,3,0.2222222222222222,0,0,-,False,False,OOWN,0.2222222222222222,2.3333333333333335,5198,False
puffy,1,2,poly,3,None,2,0,-,ooc,False,0.04992698810632958,,,783,False
coadjutor,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0,2067,True
well - appointed,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
theory,1,4,poly,3,0.47058823529411764,1,0,abs,False,False,OOWN,0.545751633986928,1.3627450980392157,201004,True
rough out,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
creeper,1,3,poly,3,0.5454545454545454,2,0,conc,False,False,OOWN,0.6075884899414311,1.1772345301757068,1116,True
misfire,2,5,homonyms_only_different_pos,3,0.8,1,0,abs,ooc,False,OOWN,0.8,0.5999999999999999,453,True
feasible,1,1,mon,1,1.0,0,0,-,ooc,False,0.5111307660566433,1.0,0.0,7225,False
belgium,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW,1.0,0.0,67266,True
polyanthus,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW,1.0,0.0,OOV,True
water,2,27,homonyms_only_different_pos,10,0.18181818181818182,6,12,abs-conc,False,False,0.2743843182032962,0.349777490025168,6.50222509974832,586090,True
bullfinch,1,1,mon,2,0.5,1,0,conc-n,ooc,False,OOV/OOW,0.5,1.0,241,True
UHF,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
conscript,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.1916860067661471,,,894,True
wader,1,3,poly,1,1.0,0,0,conc,ooc,False,1.000000000000001,1.0,0.0,421,True
Magi,1,1,mon,3,0.15384615384615385,0,0,conc-n,ooc,False,OOWN,0.2973137973137973,2.1080586080586077,OOV,True
sextuplet,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
adaptation,1,2,poly,3,0.14285714285714285,1,0,abs-conc,False,False,0.7556750092907789,0.1971139971139971,2.4086580086580085,55749,True
break away,1,2,poly,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
rubberize,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW,1.0,0.0,OOV,False
escapism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004,1.0,0.0,541,True
server,1,4,poly,4,0.38095238095238093,2,0,conc,ooc,False,OOWN,0.4675020885547201,2.1299916457811197,34918,True
poverty - stricken,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
Greater,1,2,poly,7,None,0,0,-,ooc,False,OOV/OOW,,,OOV,False
Wellington,0,0,oov,3,0.2857142857142857,1,0,conc-n,ooc,True,OOV/OOW,0.32857142857142857,2.0142857142857142,OOV,True
automaton,1,2,poly,2,0.4444444444444444,1,0,conc,ooc,False,0.27256806694379776,0.4444444444444444,1.1111111111111112,2354,True
pullulate,1,1,mon,5,0.14285714285714285,1,4,-,ooc,False,OOV/OOW,0.2216905316905317,3.891547341547341,OOV,False
weak,1,6,poly,12,None,4,0,-,True,False,OOV/OOW,,,42108,False
imminent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000007,1.0,0.0,9184,False
RNA,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
refuel,1,1,mon,2,0.16666666666666666,1,0,-,ooc,False,OOWN,0.16666666666666666,1.6666666666666667,1452,False
riffraff,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW,1.0,0.0,OOV,True
militarize,1,3,poly,2,0.3333333333333333,1,0,-,ooc,False,OOWN,0.3333333333333333,1.3333333333333335,OOV,False
fearful,1,3,poly,5,None,1,0,-,True,False,0.21678752566509144,,,4802,False
- shaven,1,1,mon,0,None,0,0,-,ooc,False,OOWN,,,OOV,False
carve,1,6,poly,3,0.75,2,4,-,True,False,OOV/OOW,0.75,0.75,2297,False
civet,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000007,1.0,0.0,859,True
haft,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000022,1.0,0.0,930,True
inundate,1,1,mon,2,0.2222222222222222,2,0,-,ooc,False,OOWN,0.2222222222222222,1.5555555555555556,215,False
fraternal,1,2,poly,3,None,2,0,-,ooc,False,OOV/OOW,,,4407,False
babel,1,1,mon,2,0.09523809523809523,1,0,abs-n,ooc,False,OOV/OOW,0.09523809523809523,1.8095238095238095,2045,True
circular,2,5,homonyms_only_different_pos,3,None,1,0,abs,False,False,0.09946536732105463,,,34434,True
appendectomy,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018,1.0,0.0,510,True
nutrient,1,1,mon,3,0.8,0,1,conc,ooc,False,0.39381701100157834,0.8,0.5999999999999999,6085,True
