word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities,av_cos_mon_synonyms_to_word
Adele,0,0,oov,0,None,0,0,-,ooc,True,OOWN
engagement,1,5,poly,7,0.23529411764705882,2,8,abs,ooc,False,OOWN
Muhammad,0,0,oov,2,0.5454545454545454,0,0,n,ooc,True,OOV/OOW
barricades,1,1,mon,5,0.75,0,0,conc,ooc,False,OOV/OOW
rep,3,4,homonyms_also_same_pos,2,0.42105263157894735,2,0,conc,ooc,False,0.06724025910150497
Fernando Alonso,0,0,oov,0,None,0,0,-,ooc,True,OOWN
squalor,1,1,mon,1,1.0,0,0,abs,False,False,1.0000000000000018
sand trap,1,1,mon,0,None,0,0,-,ooc,False,OOWN
attend,1,4,poly,5,0.2222222222222222,3,5,-,True,False,OOV/OOW
twin bed,1,1,mon,0,None,0,0,-,ooc,False,OOWN
watered silk,1,1,mon,0,None,0,0,-,ooc,False,OOWN
agreeably,1,1,mon,1,1.0,0,0,-,False,False,0.6128509917853937
slouch,2,3,homonyms_only_different_pos,4,0.14285714285714285,4,0,abs-conc,ooc,False,OOWN
abolish,1,1,mon,1,0.5,0,1,-,False,False,1.0000000000000018
loll,1,2,poly,2,0.2857142857142857,1,0,-,ooc,False,OOV/OOW
dismantle,1,2,poly,3,0.2857142857142857,1,4,-,ooc,False,0.18968972013367078
open question,1,1,mon,0,None,0,0,-,ooc,False,OOWN
peaked,2,2,homonyms_also_same_pos,3,None,2,0,-,ooc,False,0.024927782047824767
theoretically,1,2,poly,2,None,0,0,-,ooc,False,OOWN
magnetic,1,1,mon,5,None,2,0,-,False,False,0.08320434451846098
bodily,2,2,homonyms_only_different_pos,4,None,1,0,-,ooc,False,0.30715264427138683
hum,3,5,homonyms_also_same_pos,7,0.16666666666666666,3,1,abs-n,ooc,False,OOV/OOW
paralysed,0,0,oov,2,0.18181818181818182,0,0,-,False,False,OOWN
propellant,2,4,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN
festal,1,1,mon,1,1.0,0,0,-,ooc,False,0.6546043916027623
thirteen,1,1,mon,2,None,0,0,abs,False,False,OOV/OOW
masterstroke,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000016
resultant,1,1,mon,4,0.23529411764705882,1,0,abs,ooc,False,0.46112383880327923
35-6,0,0,oov,0,None,0,0,-,False,False,OOWN
housekeeper,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
resurgence,1,1,mon,1,1.0,0,0,abs,False,False,0.5022004449175042
celia,0,0,oov,0,None,0,0,-,False,False,OOWN
Afro,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
r *31 sum *31,1,2,poly,0,None,0,0,-,ooc,False,OOWN
postmark,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False,OOWN
stockpile,2,2,homonyms_only_different_pos,3,0.2222222222222222,1,1,abs,ooc,False,OOWN
gloaming,1,1,mon,1,1.0,0,0,abs,ooc,False,0.5330070275448107
crepe,1,4,poly,4,0.25,0,0,abs-conc,ooc,False,OOV/OOW
codling,2,2,homonyms_also_same_pos,1,1.0,0,0,conc,ooc,False,1.0000000000000002
X - ray,1,3,poly,0,None,0,0,-,ooc,False,OOWN
pickings,1,2,poly,15,0.16666666666666666,0,0,abs,ooc,False,OOV/OOW
shekels,1,1,mon,2,0.375,0,0,abs,ooc,False,0.2336558521646767
trench,2,4,homonyms_only_different_pos,9,0.16666666666666666,4,0,conc,ooc,False,OOV/OOW
eyes,1,20,poly,7,0.11764705882352941,0,0,abs-conc,ooc,False,0.14694946299131326
magic eye,1,1,mon,0,None,0,0,-,ooc,False,OOWN
providence,1,2,poly,4,0.1,1,0,abs-n,ooc,False,OOV/OOW
tailor,2,3,homonyms_only_different_pos,4,0.18181818181818182,2,3,conc,True,False,0.1253145161076292
heartfelt,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
sufficiently,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000018
anteater,1,1,mon,6,0.7407407407407407,1,0,conc,ooc,False,0.2294914850433003
deface,1,2,poly,1,1.0,1,0,-,ooc,False,0.5642377537871418
Whoopi Goldberg,0,0,oov,0,None,0,0,-,ooc,True,OOWN
muggins,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
tush,1,1,mon,1,1.0,0,0,conc,ooc,False,0.31359145237893427
rushes,1,1,mon,14,0.08695652173913043,0,0,abs-conc-n,ooc,False,-0.001266403507429167
run off,1,4,poly,0,None,0,0,-,ooc,False,OOWN
representation,1,2,poly,10,0.11764705882352941,3,0,abs-conc,False,False,OOV/OOW
satiety,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013
urchin,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000009
blunt,2,3,homonyms_only_different_pos,9,0.25,2,3,-,True,False,OOV/OOW
gestalt,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000009
houseful,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
sweater,1,2,poly,2,0.47058823529411764,1,0,conc,False,False,OOV/OOW
land agent,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Memorial Day,1,1,mon,0,None,0,0,-,ooc,False,OOWN
reverent,1,1,mon,2,None,1,0,-,ooc,False,OOWN
release,2,10,homonyms_only_different_pos,22,0.10526315789473684,7,17,abs-conc,True,False,0.07048589962781403
- age,1,6,poly,0,None,0,0,-,ooc,False,OOWN
boracic acid,1,1,mon,0,None,0,0,-,ooc,False,OOWN
rave about,1,1,mon,0,None,0,0,-,ooc,False,OOWN
rectangular,1,1,mon,2,None,1,0,-,False,False,OOWN
nectar,1,3,poly,3,0.375,2,0,abs-conc,ooc,False,OOWN
SW,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
offend,1,3,poly,4,0.18181818181818182,2,3,-,ooc,False,OOV/OOW
flesh,1,9,poly,4,0.25,1,0,conc,False,False,0.05787968211684094
tablemat,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Gee up,1,1,mon,0,None,0,0,-,ooc,False,OOWN
filmable,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
stub out,1,1,mon,0,None,0,0,-,ooc,False,OOWN
lascivious,1,1,mon,1,1.0,0,0,-,True,False,0.6331173044500205
understudy,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN
rid,0,0,oov,1,0.5,0,1,-,True,False,1.0000000000000013
Dispersion,1,1,mon,3,0.2,0,0,abs,ooc,False,OOV/OOW
Prussian blue,1,1,mon,0,None,0,0,-,ooc,False,OOWN
teat,1,2,poly,1,1.0,0,0,conc,ooc,False,0.5609362824246731
finance,2,2,homonyms_only_different_pos,5,0.2222222222222222,2,5,abs,True,False,OOWN
cephalic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
tiller,1,1,mon,5,0.4,3,0,conc,ooc,False,OOWN
motoring,1,1,mon,2,None,0,0,abs,False,False,OOWN
pot roast,1,2,poly,0,None,0,0,-,ooc,False,OOWN
welcoming,0,0,oov,4,0.2,0,0,-,False,False,OOWN
borderline,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.0787315380120114
outlast,1,1,mon,1,0.5,0,0,-,ooc,False,0.5977261475877866
blaze,5,9,homonyms_also_same_pos,10,0.1,4,4,abs-conc,True,False,OOV/OOW
hurricane,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000016
lotus - eater,1,1,mon,0,None,0,0,-,ooc,False,OOWN
tangible,1,2,poly,4,None,1,0,-,ooc,False,OOV/OOW
oarsmanship,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
baddeley,0,0,oov,0,None,0,0,-,False,False,OOWN
immortality,1,2,poly,2,0.25,0,0,abs,ooc,False,OOWN
interposition,1,2,poly,2,0.5882352941176471,1,0,abs,ooc,False,OOWN
send,1,9,poly,8,0.16666666666666666,2,5,-,True,False,0.08171675714245916
attain to,1,1,mon,0,None,0,0,-,ooc,False,OOWN
short - change,1,1,mon,0,None,0,0,-,ooc,False,OOWN
buy up,1,2,poly,0,None,0,0,-,ooc,False,OOWN
gain on,1,1,mon,0,None,0,0,-,ooc,False,OOWN
paints,1,1,mon,7,0.2222222222222222,0,0,abs-conc,ooc,False,OOWN
blow - by - blow,1,1,mon,0,None,0,0,-,ooc,False,OOWN
mutable,1,1,mon,1,1.0,0,0,-,ooc,False,0.9999999999999996
pin down,1,2,poly,0,None,0,0,-,ooc,False,OOWN
Sexagesima,1,1,mon,0,None,0,0,-,ooc,False,OOWN
visitation,1,3,poly,3,0.4444444444444444,2,0,abs,ooc,False,0.08562549198566265
hotpot,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
much,2,21,homonyms_only_different_pos,7,None,1,0,abs,False,False,OOV/OOW
soldiery,1,1,mon,1,1.0,0,0,abs,ooc,False,1.000000000000002
consult with,1,1,mon,0,None,0,0,-,ooc,False,OOWN
new moon,1,2,poly,0,None,0,0,-,ooc,False,OOWN
doubles,1,1,mon,13,0.1,0,0,abs-conc,ooc,False,OOV/OOW
forestall,1,2,poly,2,0.4,1,0,-,ooc,False,OOWN
akenfield,0,0,oov,0,None,0,0,-,False,False,OOWN
braille,1,1,mon,3,0.125,1,0,abs-n,ooc,False,OOV/OOW
inaugurate,1,3,poly,3,0.25,1,0,-,False,False,OOV/OOW
hasp,1,1,mon,2,None,0,0,conc,ooc,False,OOWN
mark,3,27,homonyms_also_same_pos,30,0.10526315789473684,11,20,abs-conc-n,True,False,0.11029680977818934
ribbon development,1,1,mon,0,None,0,0,-,ooc,False,OOWN
hectic,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
competition,1,4,poly,4,0.16666666666666666,1,4,abs-conc,False,False,0.265600234089887
retrieval system,1,1,mon,0,None,0,0,-,ooc,False,OOWN
v,1,6,poly,5,0.23529411764705882,0,0,abs,False,False,OOV/OOW
relativism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000013
in lieu of,0,0,oov,0,None,0,0,-,False,False,OOWN
finished,1,3,poly,11,0.25,0,0,-,ooc,False,OOV/OOW
breach,2,5,homonyms_only_different_pos,5,0.2222222222222222,3,4,abs,ooc,False,OOV/OOW
dale,1,1,mon,1,1.0,0,0,conc,False,False,1.0000000000000004
audio -,1,1,mon,0,None,0,0,-,ooc,False,OOWN
PA,1,2,poly,5,0.1111111111111111,1,0,abs-conc-n,ooc,False,OOV/OOW
reckon in,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False,OOWN
sheep,1,5,poly,3,0.48,2,0,conc,False,False,OOWN
shalom,1,1,mon,0,None,0,0,-,ooc,False,OOWN
ancestor,1,1,mon,1,1.0,0,1,conc,ooc,False,1.0000000000000013
drift,2,7,homonyms_only_different_pos,17,0.1111111111111111,8,7,abs-conc,True,False,0.16282630093830214
fade in,1,1,mon,0,None,0,0,-,ooc,False,OOWN
trifle,1,4,poly,6,0.1111111111111111,3,0,abs-conc,ooc,False,0.07625854206613124
obbligato,1,1,mon,2,0.625,1,0,abs,ooc,False,OOWN
covering letter,1,1,mon,0,None,0,0,-,ooc,False,OOWN
forger,1,1,mon,2,0.5454545454545454,0,0,conc,ooc,False,0.28112330581755807
dense,1,4,poly,4,None,2,0,-,True,False,OOWN
punch bowl,1,1,mon,0,None,0,0,-,ooc,False,OOWN
patterned,0,0,oov,3,0.2222222222222222,0,0,-,False,False,OOWN
puffy,1,2,poly,3,None,2,0,-,ooc,False,0.04992698810632958
coadjutor,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
well - appointed,1,1,mon,0,None,0,0,-,ooc,False,OOWN
theory,1,4,poly,3,0.47058823529411764,1,0,abs,False,False,OOWN
rough out,1,1,mon,0,None,0,0,-,ooc,False,OOWN
creeper,1,3,poly,3,0.5454545454545454,2,0,conc,False,False,OOWN
misfire,2,5,homonyms_only_different_pos,3,0.8,1,0,abs,ooc,False,OOWN
feasible,1,1,mon,1,1.0,0,0,-,ooc,False,0.5111307660566433
belgium,0,0,oov,1,1.0,0,0,n,False,False,OOV/OOW
polyanthus,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
water,2,27,homonyms_only_different_pos,10,0.18181818181818182,6,12,abs-conc,False,False,0.2743843182032962
bullfinch,1,1,mon,2,0.5,1,0,conc-n,ooc,False,OOV/OOW
UHF,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
conscript,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,0.1916860067661471
wader,1,3,poly,1,1.0,0,0,conc,ooc,False,1.000000000000001
Magi,1,1,mon,3,0.15384615384615385,0,0,conc-n,ooc,False,OOWN
sextuplet,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
adaptation,1,2,poly,3,0.14285714285714285,1,0,abs-conc,False,False,0.7556750092907789
break away,1,2,poly,0,None,0,0,-,ooc,False,OOWN
rubberize,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
escapism,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000004
server,1,4,poly,4,0.38095238095238093,2,0,conc,ooc,False,OOWN
poverty - stricken,1,1,mon,0,None,0,0,-,ooc,False,OOWN
Greater,1,2,poly,7,None,0,0,-,ooc,False,OOV/OOW
Wellington,0,0,oov,3,0.2857142857142857,1,0,conc-n,ooc,True,OOV/OOW
automaton,1,2,poly,2,0.4444444444444444,1,0,conc,ooc,False,0.27256806694379776
pullulate,1,1,mon,5,0.14285714285714285,1,4,-,ooc,False,OOV/OOW
weak,1,6,poly,12,None,4,0,-,True,False,OOV/OOW
imminent,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000007
RNA,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
refuel,1,1,mon,2,0.16666666666666666,1,0,-,ooc,False,OOWN
riffraff,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
militarize,1,3,poly,2,0.3333333333333333,1,0,-,ooc,False,OOWN
fearful,1,3,poly,5,None,1,0,-,True,False,0.21678752566509144
- shaven,1,1,mon,0,None,0,0,-,ooc,False,OOWN
carve,1,6,poly,3,0.75,2,4,-,True,False,OOV/OOW
civet,1,2,poly,1,1.0,0,0,conc,ooc,False,1.0000000000000007
haft,1,1,mon,1,1.0,0,0,conc,ooc,False,1.0000000000000022
inundate,1,1,mon,2,0.2222222222222222,2,0,-,ooc,False,OOWN
fraternal,1,2,poly,3,None,2,0,-,ooc,False,OOV/OOW
babel,1,1,mon,2,0.09523809523809523,1,0,abs-n,ooc,False,OOV/OOW
circular,2,5,homonyms_only_different_pos,3,None,1,0,abs,False,False,0.09946536732105463
appendectomy,1,1,mon,1,1.0,0,0,abs,ooc,False,1.0000000000000018
nutrient,1,1,mon,3,0.8,0,1,conc,ooc,False,0.39381701100157834
sylphlike,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
diptych,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
intermittent,1,1,mon,1,1.0,1,0,-,ooc,False,1.0
inverse,1,2,poly,3,None,1,0,abs,False,False,OOWN
expansion,1,2,poly,4,0.25,1,5,abs,True,False,OOV/OOW
surreal,1,1,mon,2,None,1,0,-,False,False,0.46199631346089387
sobriquet,1,1,mon,1,1.0,0,0,abs,ooc,False,0.48186993340613543
reaping hook,1,1,mon,0,None,0,0,-,ooc,False,OOWN
whence,1,4,poly,1,1.0,0,0,-,False,False,1.0000000000000013
mastery,1,1,mon,3,0.26666666666666666,2,0,abs,ooc,False,0.25719169471569553
felicitate,1,1,mon,1,1.0,0,0,-,ooc,False,1.000000000000001
adamant,2,2,homonyms_only_different_pos,2,None,0,0,abs,False,False,0.1264456910927861
bowdlerize,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
skidlid,1,1,mon,0,None,0,0,-,ooc,False,OOWN
capture,2,6,homonyms_only_different_pos,11,0.125,4,11,abs-conc,True,False,0.11962117732017995
majolica,1,1,mon,1,1.0,0,0,conc,ooc,False,0.7235568807914438
field gun,1,1,mon,0,None,0,0,-,ooc,False,OOWN
obscene,1,1,mon,3,None,1,0,-,ooc,False,0.2538916993363528
Kanye West,0,0,oov,0,None,0,0,-,ooc,True,OOWN
20ft,0,0,oov,0,None,0,0,-,False,False,OOWN
quadrangular,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000009
good - for - nothing,1,1,mon,0,None,0,0,-,ooc,False,OOWN
1896,0,0,oov,0,None,0,0,-,False,False,OOWN
Dutch treat,1,1,mon,0,None,0,0,-,ooc,False,OOWN
crossing,1,4,poly,15,0.1,2,8,abs-conc,False,False,0.17344885088112952
cut - and - dried,1,2,poly,0,None,0,0,-,ooc,False,OOWN
analysis,1,4,poly,6,0.2,4,7,abs,False,False,0.25375184364543407
appetizer,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
donor,1,2,poly,2,0.9,1,0,conc,ooc,False,OOV/OOW
such as,0,0,oov,0,None,0,0,-,False,False,OOWN
wank,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOV/OOW
strike pay,1,1,mon,0,None,0,0,-,ooc,False,OOWN
flatfoot,1,1,mon,2,0.2222222222222222,1,0,conc,ooc,False,0.13412138873447188
midget,1,2,poly,2,None,0,0,conc,ooc,False,0.17154329487988607
gooseflesh,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
Terylene,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
de facto,1,1,mon,0,None,0,0,-,ooc,False,OOWN
basset,1,1,mon,2,None,0,0,conc,ooc,False,OOV/OOW
minority,1,4,poly,3,0.3076923076923077,2,0,abs,False,False,OOV/OOW
differently,0,0,oov,1,1.0,0,0,-,False,False,1.0000000000000009
visa,2,2,homonyms_only_different_pos,3,0.11764705882352941,0,0,abs,ooc,False,OOWN
clearinghouse,1,1,mon,0,None,0,0,-,ooc,False,OOWN
fratricide,1,2,poly,3,0.1,1,0,abs-conc,ooc,False,OOV/OOW
northwestwards,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
silt up,1,1,mon,0,None,0,0,-,ooc,False,OOWN
jubilation,1,1,mon,3,0.26666666666666666,1,0,abs,ooc,False,OOV/OOW
garden,2,4,homonyms_only_different_pos,4,0.125,1,6,abs-conc,False,False,OOWN
coffee shop,1,2,poly,0,None,0,0,-,ooc,False,OOWN
swivel,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False,OOWN
- eyed,1,3,poly,0,None,0,0,-,ooc,False,OOWN
background,1,6,poly,9,0.09523809523809523,2,0,abs-conc,True,False,0.3862917654828788
quality,1,2,poly,7,0.25,2,6,abs,False,False,0.2484406791045986
hot-house,0,0,oov,0,None,0,0,-,True,False,OOWN
cadaverous,1,1,mon,2,None,1,0,-,ooc,False,OOV/OOW
prima facie,1,1,mon,0,None,0,0,-,ooc,False,OOWN
I,2,3,homonyms_only_different_pos,4,0.23529411764705882,1,0,abs,ooc,False,OOV/OOW
mo,1,2,poly,3,0.11764705882352941,0,0,abs-n,ooc,False,0.18119668625256485
county town,1,1,mon,0,None,0,0,-,ooc,False,OOWN
buttonhook,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
Red Crescent,1,1,mon,0,None,0,0,-,ooc,False,OOWN
soft - pedal,1,1,mon,0,None,0,0,-,ooc,False,OOWN
twitch,2,4,homonyms_only_different_pos,6,0.2222222222222222,1,4,abs,False,False,OOV/OOW
untangle,1,1,mon,2,0.25,1,0,-,ooc,False,0.1883225993285429
degeneracy,1,3,poly,2,0.35294117647058826,1,0,abs,ooc,False,0.2641330004362512
ormolu,1,1,mon,1,1.0,0,0,abs,ooc,False,OOV/OOW
fine,5,15,homonyms_only_different_pos,10,None,4,1,abs,True,False,0.24460866001575912
plaster cast,1,2,poly,0,None,0,0,-,ooc,False,OOWN
ridge,2,2,homonyms_only_different_pos,11,0.14285714285714285,2,6,abs-conc,False,False,0.45646369757678057
muck,2,5,homonyms_only_different_pos,5,0.2222222222222222,4,0,abs-conc,ooc,False,0.1114464695386364
remiss,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
retarded,1,1,mon,6,0.2222222222222222,0,0,abs,ooc,False,OOV/OOW
squarely,0,0,oov,5,None,1,0,-,False,False,0.09153793749761796
avaunt,1,1,mon,0,None,0,0,-,ooc,False,OOWN
lump,4,10,homonyms_also_same_pos,6,0.15384615384615385,2,1,abs-conc,False,False,0.10563733908390738
theatregoer,1,1,mon,1,1.0,0,0,conc,ooc,False,OOV/OOW
oblige,1,3,poly,3,0.18181818181818182,1,3,-,True,False,OOWN
drag,2,14,homonyms_only_different_pos,17,0.1111111111111111,8,21,abs-conc,True,False,OOV/OOW
gas station,1,1,mon,0,None,0,0,-,ooc,False,OOWN
F,3,3,homonyms_also_same_pos,4,0.23529411764705882,1,0,abs,ooc,False,OOV/OOW
no one,1,1,mon,0,None,0,0,-,False,False,OOWN
discontent,3,4,homonyms_only_different_pos,3,None,0,0,abs,False,False,0.42965704694756185
Italian,1,1,mon,3,0.11764705882352941,2,0,abs-conc,ooc,False,OOWN
armistice,1,1,mon,1,1.0,0,0,abs,ooc,False,0.754957953370389
swig,2,2,homonyms_only_different_pos,3,0.25,1,0,conc,ooc,False,OOWN
oscar,0,0,oov,1,1.0,0,0,abs,False,False,OOV/OOW
arrack,1,1,mon,1,1.0,0,0,abs,ooc,False,0.5878069480001957
underfloor,1,1,mon,0,None,0,0,-,ooc,False,OOWN
plough under,1,1,mon,0,None,0,0,-,ooc,False,OOWN
wheat,1,2,poly,3,0.09090909090909091,1,0,abs-conc,False,False,OOV/OOW
radioactivity,1,1,mon,1,1.0,0,0,conc,ooc,False,1.000000000000001
sweet william,1,1,mon,0,None,0,0,-,ooc,False,OOWN
1944,0,0,oov,0,None,0,0,-,False,False,OOWN
kinship,1,2,poly,2,0.75,1,0,abs,ooc,False,OOV/OOW
photographic,1,2,poly,2,None,0,0,-,False,False,OOWN
intact,1,1,mon,4,None,1,0,-,False,False,OOWN
adaptable,1,1,mon,1,1.0,0,0,-,ooc,False,1.0000000000000004
outfight,1,1,mon,1,1.0,0,0,-,ooc,False,OOV/OOW
