word,n_entries,n_senses_total,polysemy_type,n_synsets,min_wup_sim,n_navigli_clusters,n_onto_senses_n_v,wn-abs-conc,mipvu,metonymy_entities
adulate,1,1,mon,1,1.0,0,0,-,ooc,False
seizure,1,2,poly,4,0.4,2,0,abs,ooc,False
skillet,1,1,mon,1,1.0,0,0,conc,ooc,False
pre-term,0,0,oov,0,None,0,0,-,False,False
calliper,1,1,mon,2,None,0,0,conc,ooc,False
stubby,1,1,mon,1,1.0,0,0,-,ooc,False
latter - day,1,1,mon,0,None,0,0,-,ooc,False
charnel house,1,1,mon,0,None,0,0,-,ooc,False
transport,2,7,homonyms_only_different_pos,11,0.1111111111111111,3,10,abs-conc,False,False
British Virgin Islands,0,0,oov,0,None,0,0,-,ooc,True
under -,1,3,poly,0,None,0,0,-,ooc,False
mizzenmast,1,1,mon,1,1.0,0,0,conc,ooc,False
fraudulence,1,2,poly,3,0.21052631578947367,0,0,abs,ooc,False
ballot box,1,1,mon,0,None,0,0,-,ooc,False
dozy,1,3,poly,1,1.0,0,0,-,ooc,False
sideboard,1,1,mon,3,0.5882352941176471,2,0,conc,ooc,False
edelweiss,1,1,mon,1,0.8333333333333334,0,0,conc,ooc,False
construe,1,2,poly,1,1.0,0,0,-,ooc,False
canonicals,1,1,mon,0,None,0,0,-,ooc,False
plasterer,1,1,mon,1,1.0,0,0,conc,ooc,False
anaemia,1,1,mon,2,0.2,1,0,abs,ooc,False
mary,0,0,oov,1,0.9285714285714286,0,0,n,False,False
cowhide,1,3,poly,4,0.2,1,0,abs-conc,ooc,False
junk,3,5,homonyms_also_same_pos,3,0.2,2,7,abs-conc,False,False
indigent,1,1,mon,1,1.0,0,0,-,ooc,False
mileage,1,3,poly,3,0.2727272727272727,1,0,abs,False,False
unlike,1,1,mon,2,None,1,0,-,False,False
retch,1,1,mon,3,0.3333333333333333,1,0,abs,ooc,False
High Sheriff,1,1,mon,0,None,0,0,-,ooc,False
semblance,1,1,mon,3,0.11764705882352941,1,0,abs-conc,ooc,False
Adele,0,0,oov,0,None,0,0,-,ooc,True
engagement,1,5,poly,7,0.23529411764705882,2,8,abs,ooc,False
Muhammad,0,0,oov,2,0.5454545454545454,0,0,n,ooc,True
barricades,1,1,mon,5,0.75,0,0,conc,ooc,False
rep,3,4,homonyms_also_same_pos,2,0.42105263157894735,2,0,conc,ooc,False
Fernando Alonso,0,0,oov,0,None,0,0,-,ooc,True
squalor,1,1,mon,1,1.0,0,0,abs,False,False
sand trap,1,1,mon,0,None,0,0,-,ooc,False
attend,1,4,poly,5,0.2222222222222222,3,5,-,True,False
twin bed,1,1,mon,0,None,0,0,-,ooc,False
watered silk,1,1,mon,0,None,0,0,-,ooc,False
agreeably,1,1,mon,1,1.0,0,0,-,False,False
slouch,2,3,homonyms_only_different_pos,4,0.14285714285714285,4,0,abs-conc,ooc,False
abolish,1,1,mon,1,0.5,0,1,-,False,False
loll,1,2,poly,2,0.2857142857142857,1,0,-,ooc,False
dismantle,1,2,poly,3,0.2857142857142857,1,4,-,ooc,False
open question,1,1,mon,0,None,0,0,-,ooc,False
peaked,2,2,homonyms_also_same_pos,3,None,2,0,-,ooc,False
theoretically,1,2,poly,2,None,0,0,-,ooc,False
magnetic,1,1,mon,5,None,2,0,-,False,False
bodily,2,2,homonyms_only_different_pos,4,None,1,0,-,ooc,False
hum,3,5,homonyms_also_same_pos,7,0.16666666666666666,3,1,abs-n,ooc,False
paralysed,0,0,oov,2,0.18181818181818182,0,0,-,False,False
propellant,2,4,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
festal,1,1,mon,1,1.0,0,0,-,ooc,False
thirteen,1,1,mon,2,None,0,0,abs,False,False
masterstroke,1,1,mon,1,1.0,0,0,abs,ooc,False
resultant,1,1,mon,4,0.23529411764705882,1,0,abs,ooc,False
35-6,0,0,oov,0,None,0,0,-,False,False
housekeeper,1,1,mon,1,1.0,0,0,conc,ooc,False
resurgence,1,1,mon,1,1.0,0,0,abs,False,False
celia,0,0,oov,0,None,0,0,-,False,False
Afro,1,1,mon,1,1.0,0,0,conc,ooc,False
r *31 sum *31,1,2,poly,0,None,0,0,-,ooc,False
postmark,2,2,homonyms_only_different_pos,2,None,0,0,abs,ooc,False
stockpile,2,2,homonyms_only_different_pos,3,0.2222222222222222,1,1,abs,ooc,False
gloaming,1,1,mon,1,1.0,0,0,abs,ooc,False
crepe,1,4,poly,4,0.25,0,0,abs-conc,ooc,False
codling,2,2,homonyms_also_same_pos,1,1.0,0,0,conc,ooc,False
X - ray,1,3,poly,0,None,0,0,-,ooc,False
pickings,1,2,poly,15,0.16666666666666666,0,0,abs,ooc,False
shekels,1,1,mon,2,0.375,0,0,abs,ooc,False
trench,2,4,homonyms_only_different_pos,9,0.16666666666666666,4,0,conc,ooc,False
eyes,1,20,poly,7,0.11764705882352941,0,0,abs-conc,ooc,False
magic eye,1,1,mon,0,None,0,0,-,ooc,False
providence,1,2,poly,4,0.1,1,0,abs-n,ooc,False
tailor,2,3,homonyms_only_different_pos,4,0.18181818181818182,2,3,conc,True,False
heartfelt,1,1,mon,1,1.0,0,0,-,ooc,False
sufficiently,0,0,oov,1,1.0,0,0,-,False,False
anteater,1,1,mon,6,0.7407407407407407,1,0,conc,ooc,False
deface,1,2,poly,1,1.0,1,0,-,ooc,False
Whoopi Goldberg,0,0,oov,0,None,0,0,-,ooc,True
muggins,1,1,mon,1,1.0,0,0,conc,ooc,False
tush,1,1,mon,1,1.0,0,0,conc,ooc,False
rushes,1,1,mon,14,0.08695652173913043,0,0,abs-conc-n,ooc,False
run off,1,4,poly,0,None,0,0,-,ooc,False
representation,1,2,poly,10,0.11764705882352941,3,0,abs-conc,False,False
satiety,1,1,mon,1,1.0,0,0,abs,ooc,False
urchin,1,1,mon,1,1.0,0,0,conc,ooc,False
blunt,2,3,homonyms_only_different_pos,9,0.25,2,3,-,True,False
gestalt,1,1,mon,1,1.0,0,0,abs,ooc,False
houseful,1,1,mon,1,1.0,0,0,abs,ooc,False
sweater,1,2,poly,2,0.47058823529411764,1,0,conc,False,False
land agent,1,1,mon,0,None,0,0,-,ooc,False
Memorial Day,1,1,mon,0,None,0,0,-,ooc,False
reverent,1,1,mon,2,None,1,0,-,ooc,False
release,2,10,homonyms_only_different_pos,22,0.10526315789473684,7,17,abs-conc,True,False
- age,1,6,poly,0,None,0,0,-,ooc,False
boracic acid,1,1,mon,0,None,0,0,-,ooc,False
rave about,1,1,mon,0,None,0,0,-,ooc,False
rectangular,1,1,mon,2,None,1,0,-,False,False
nectar,1,3,poly,3,0.375,2,0,abs-conc,ooc,False
SW,1,1,mon,1,1.0,0,0,abs,ooc,False
offend,1,3,poly,4,0.18181818181818182,2,3,-,ooc,False
flesh,1,9,poly,4,0.25,1,0,conc,False,False
tablemat,1,1,mon,0,None,0,0,-,ooc,False
Gee up,1,1,mon,0,None,0,0,-,ooc,False
filmable,1,1,mon,1,1.0,0,0,-,ooc,False
stub out,1,1,mon,0,None,0,0,-,ooc,False
lascivious,1,1,mon,1,1.0,0,0,-,True,False
understudy,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
rid,0,0,oov,1,0.5,0,1,-,True,False
Dispersion,1,1,mon,3,0.2,0,0,abs,ooc,False
Prussian blue,1,1,mon,0,None,0,0,-,ooc,False
teat,1,2,poly,1,1.0,0,0,conc,ooc,False
finance,2,2,homonyms_only_different_pos,5,0.2222222222222222,2,5,abs,True,False
cephalic,1,1,mon,1,1.0,0,0,-,ooc,False
tiller,1,1,mon,5,0.4,3,0,conc,ooc,False
motoring,1,1,mon,2,None,0,0,abs,False,False
pot roast,1,2,poly,0,None,0,0,-,ooc,False
welcoming,0,0,oov,4,0.2,0,0,-,False,False
borderline,2,3,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
outlast,1,1,mon,1,0.5,0,0,-,ooc,False
blaze,5,9,homonyms_also_same_pos,10,0.1,4,4,abs-conc,True,False
hurricane,1,1,mon,1,1.0,0,0,conc,False,False
lotus - eater,1,1,mon,0,None,0,0,-,ooc,False
tangible,1,2,poly,4,None,1,0,-,ooc,False
oarsmanship,1,1,mon,1,1.0,0,0,abs,ooc,False
baddeley,0,0,oov,0,None,0,0,-,False,False
immortality,1,2,poly,2,0.25,0,0,abs,ooc,False
interposition,1,2,poly,2,0.5882352941176471,1,0,abs,ooc,False
send,1,9,poly,8,0.16666666666666666,2,5,-,True,False
attain to,1,1,mon,0,None,0,0,-,ooc,False
short - change,1,1,mon,0,None,0,0,-,ooc,False
buy up,1,2,poly,0,None,0,0,-,ooc,False
gain on,1,1,mon,0,None,0,0,-,ooc,False
paints,1,1,mon,7,0.2222222222222222,0,0,abs-conc,ooc,False
blow - by - blow,1,1,mon,0,None,0,0,-,ooc,False
mutable,1,1,mon,1,1.0,0,0,-,ooc,False
pin down,1,2,poly,0,None,0,0,-,ooc,False
Sexagesima,1,1,mon,0,None,0,0,-,ooc,False
visitation,1,3,poly,3,0.4444444444444444,2,0,abs,ooc,False
hotpot,1,1,mon,1,1.0,0,0,conc,ooc,False
much,2,21,homonyms_only_different_pos,7,None,1,0,abs,False,False
soldiery,1,1,mon,1,1.0,0,0,abs,ooc,False
consult with,1,1,mon,0,None,0,0,-,ooc,False
new moon,1,2,poly,0,None,0,0,-,ooc,False
doubles,1,1,mon,13,0.1,0,0,abs-conc,ooc,False
forestall,1,2,poly,2,0.4,1,0,-,ooc,False
akenfield,0,0,oov,0,None,0,0,-,False,False
braille,1,1,mon,3,0.125,1,0,abs-n,ooc,False
inaugurate,1,3,poly,3,0.25,1,0,-,False,False
hasp,1,1,mon,2,None,0,0,conc,ooc,False
mark,3,27,homonyms_also_same_pos,30,0.10526315789473684,11,20,abs-conc-n,True,False
ribbon development,1,1,mon,0,None,0,0,-,ooc,False
hectic,1,1,mon,1,1.0,0,0,-,ooc,False
competition,1,4,poly,4,0.16666666666666666,1,4,abs-conc,False,False
retrieval system,1,1,mon,0,None,0,0,-,ooc,False
v,1,6,poly,5,0.23529411764705882,0,0,abs,False,False
relativism,1,1,mon,1,1.0,0,0,abs,ooc,False
in lieu of,0,0,oov,0,None,0,0,-,False,False
finished,1,3,poly,11,0.25,0,0,-,ooc,False
breach,2,5,homonyms_only_different_pos,5,0.2222222222222222,3,4,abs,ooc,False
dale,1,1,mon,1,1.0,0,0,conc,False,False
audio -,1,1,mon,0,None,0,0,-,ooc,False
PA,1,2,poly,5,0.1111111111111111,1,0,abs-conc-n,ooc,False
reckon in,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False
sheep,1,5,poly,3,0.48,2,0,conc,False,False
shalom,1,1,mon,0,None,0,0,-,ooc,False
ancestor,1,1,mon,1,1.0,0,1,conc,ooc,False
drift,2,7,homonyms_only_different_pos,17,0.1111111111111111,8,7,abs-conc,True,False
fade in,1,1,mon,0,None,0,0,-,ooc,False
trifle,1,4,poly,6,0.1111111111111111,3,0,abs-conc,ooc,False
obbligato,1,1,mon,2,0.625,1,0,abs,ooc,False
covering letter,1,1,mon,0,None,0,0,-,ooc,False
forger,1,1,mon,2,0.5454545454545454,0,0,conc,ooc,False
dense,1,4,poly,4,None,2,0,-,True,False
punch bowl,1,1,mon,0,None,0,0,-,ooc,False
patterned,0,0,oov,3,0.2222222222222222,0,0,-,False,False
puffy,1,2,poly,3,None,2,0,-,ooc,False
coadjutor,1,1,mon,1,1.0,0,0,conc,ooc,False
well - appointed,1,1,mon,0,None,0,0,-,ooc,False
theory,1,4,poly,3,0.47058823529411764,1,0,abs,False,False
rough out,1,1,mon,0,None,0,0,-,ooc,False
creeper,1,3,poly,3,0.5454545454545454,2,0,conc,False,False
misfire,2,5,homonyms_only_different_pos,3,0.8,1,0,abs,ooc,False
feasible,1,1,mon,1,1.0,0,0,-,ooc,False
belgium,0,0,oov,1,1.0,0,0,n,False,False
polyanthus,1,1,mon,1,1.0,0,0,conc,ooc,False
water,2,27,homonyms_only_different_pos,10,0.18181818181818182,6,12,abs-conc,False,False
bullfinch,1,1,mon,2,0.5,1,0,conc-n,ooc,False
UHF,1,1,mon,1,1.0,0,0,abs,ooc,False
conscript,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
wader,1,3,poly,1,1.0,0,0,conc,ooc,False
Magi,1,1,mon,3,0.15384615384615385,0,0,conc-n,ooc,False
sextuplet,1,1,mon,1,1.0,0,0,abs,ooc,False
adaptation,1,2,poly,3,0.14285714285714285,1,0,abs-conc,False,False
break away,1,2,poly,0,None,0,0,-,ooc,False
rubberize,1,1,mon,1,1.0,0,0,-,ooc,False
escapism,1,1,mon,1,1.0,0,0,abs,ooc,False
server,1,4,poly,4,0.38095238095238093,2,0,conc,ooc,False
poverty - stricken,1,1,mon,0,None,0,0,-,ooc,False
Greater,1,2,poly,7,None,0,0,-,ooc,False
Wellington,0,0,oov,3,0.2857142857142857,1,0,conc-n,ooc,True
automaton,1,2,poly,2,0.4444444444444444,1,0,conc,ooc,False
pullulate,1,1,mon,5,0.14285714285714285,1,4,-,ooc,False
weak,1,6,poly,12,None,4,0,-,True,False
imminent,1,1,mon,1,1.0,0,0,-,ooc,False
RNA,1,1,mon,1,1.0,0,0,abs,ooc,False
refuel,1,1,mon,2,0.16666666666666666,1,0,-,ooc,False
riffraff,1,1,mon,1,1.0,0,0,abs,ooc,False
militarize,1,3,poly,2,0.3333333333333333,1,0,-,ooc,False
fearful,1,3,poly,5,None,1,0,-,True,False
- shaven,1,1,mon,0,None,0,0,-,ooc,False
carve,1,6,poly,3,0.75,2,4,-,True,False
civet,1,2,poly,1,1.0,0,0,conc,ooc,False
haft,1,1,mon,1,1.0,0,0,conc,ooc,False
inundate,1,1,mon,2,0.2222222222222222,2,0,-,ooc,False
fraternal,1,2,poly,3,None,2,0,-,ooc,False
babel,1,1,mon,2,0.09523809523809523,1,0,abs-n,ooc,False
circular,2,5,homonyms_only_different_pos,3,None,1,0,abs,False,False
appendectomy,1,1,mon,1,1.0,0,0,abs,ooc,False
nutrient,1,1,mon,3,0.8,0,1,conc,ooc,False
sylphlike,1,1,mon,1,1.0,0,0,-,ooc,False
diptych,1,1,mon,1,1.0,0,0,conc,ooc,False
intermittent,1,1,mon,1,1.0,1,0,-,ooc,False
inverse,1,2,poly,3,None,1,0,abs,False,False
expansion,1,2,poly,4,0.25,1,5,abs,True,False
surreal,1,1,mon,2,None,1,0,-,False,False
sobriquet,1,1,mon,1,1.0,0,0,abs,ooc,False
reaping hook,1,1,mon,0,None,0,0,-,ooc,False
whence,1,4,poly,1,1.0,0,0,-,False,False
mastery,1,1,mon,3,0.26666666666666666,2,0,abs,ooc,False
felicitate,1,1,mon,1,1.0,0,0,-,ooc,False
adamant,2,2,homonyms_only_different_pos,2,None,0,0,abs,False,False
bowdlerize,1,1,mon,1,1.0,0,0,-,ooc,False
skidlid,1,1,mon,0,None,0,0,-,ooc,False
capture,2,6,homonyms_only_different_pos,11,0.125,4,11,abs-conc,True,False
majolica,1,1,mon,1,1.0,0,0,conc,ooc,False
field gun,1,1,mon,0,None,0,0,-,ooc,False
obscene,1,1,mon,3,None,1,0,-,ooc,False
Kanye West,0,0,oov,0,None,0,0,-,ooc,True
20ft,0,0,oov,0,None,0,0,-,False,False
quadrangular,1,1,mon,1,1.0,0,0,-,ooc,False
good - for - nothing,1,1,mon,0,None,0,0,-,ooc,False
1896,0,0,oov,0,None,0,0,-,False,False
Dutch treat,1,1,mon,0,None,0,0,-,ooc,False
crossing,1,4,poly,15,0.1,2,8,abs-conc,False,False
cut - and - dried,1,2,poly,0,None,0,0,-,ooc,False
analysis,1,4,poly,6,0.2,4,7,abs,False,False
appetizer,1,1,mon,1,1.0,0,0,conc,ooc,False
donor,1,2,poly,2,0.9,1,0,conc,ooc,False
such as,0,0,oov,0,None,0,0,-,False,False
wank,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
strike pay,1,1,mon,0,None,0,0,-,ooc,False
flatfoot,1,1,mon,2,0.2222222222222222,1,0,conc,ooc,False
midget,1,2,poly,2,None,0,0,conc,ooc,False
gooseflesh,1,1,mon,1,1.0,0,0,conc,ooc,False
Terylene,1,1,mon,1,1.0,0,0,conc,ooc,False
de facto,1,1,mon,0,None,0,0,-,ooc,False
basset,1,1,mon,2,None,0,0,conc,ooc,False
minority,1,4,poly,3,0.3076923076923077,2,0,abs,False,False
differently,0,0,oov,1,1.0,0,0,-,False,False
visa,2,2,homonyms_only_different_pos,3,0.11764705882352941,0,0,abs,ooc,False
clearinghouse,1,1,mon,0,None,0,0,-,ooc,False
fratricide,1,2,poly,3,0.1,1,0,abs-conc,ooc,False
northwestwards,1,1,mon,1,1.0,0,0,abs,ooc,False
silt up,1,1,mon,0,None,0,0,-,ooc,False
jubilation,1,1,mon,3,0.26666666666666666,1,0,abs,ooc,False
garden,2,4,homonyms_only_different_pos,4,0.125,1,6,abs-conc,False,False
coffee shop,1,2,poly,0,None,0,0,-,ooc,False
swivel,2,2,homonyms_only_different_pos,2,None,0,0,conc,ooc,False
- eyed,1,3,poly,0,None,0,0,-,ooc,False
background,1,6,poly,9,0.09523809523809523,2,0,abs-conc,True,False
quality,1,2,poly,7,0.25,2,6,abs,False,False
hot-house,0,0,oov,0,None,0,0,-,True,False
cadaverous,1,1,mon,2,None,1,0,-,ooc,False
prima facie,1,1,mon,0,None,0,0,-,ooc,False
I,2,3,homonyms_only_different_pos,4,0.23529411764705882,1,0,abs,ooc,False
mo,1,2,poly,3,0.11764705882352941,0,0,abs-n,ooc,False
county town,1,1,mon,0,None,0,0,-,ooc,False
buttonhook,1,1,mon,1,1.0,0,0,conc,ooc,False
Red Crescent,1,1,mon,0,None,0,0,-,ooc,False
soft - pedal,1,1,mon,0,None,0,0,-,ooc,False
twitch,2,4,homonyms_only_different_pos,6,0.2222222222222222,1,4,abs,False,False
untangle,1,1,mon,2,0.25,1,0,-,ooc,False
degeneracy,1,3,poly,2,0.35294117647058826,1,0,abs,ooc,False
ormolu,1,1,mon,1,1.0,0,0,abs,ooc,False
fine,5,15,homonyms_only_different_pos,10,None,4,1,abs,True,False
plaster cast,1,2,poly,0,None,0,0,-,ooc,False
ridge,2,2,homonyms_only_different_pos,11,0.14285714285714285,2,6,abs-conc,False,False
muck,2,5,homonyms_only_different_pos,5,0.2222222222222222,4,0,abs-conc,ooc,False
remiss,1,1,mon,1,1.0,0,0,-,ooc,False
retarded,1,1,mon,6,0.2222222222222222,0,0,abs,ooc,False
squarely,0,0,oov,5,None,1,0,-,False,False
avaunt,1,1,mon,0,None,0,0,-,ooc,False
lump,4,10,homonyms_also_same_pos,6,0.15384615384615385,2,1,abs-conc,False,False
theatregoer,1,1,mon,1,1.0,0,0,conc,ooc,False
oblige,1,3,poly,3,0.18181818181818182,1,3,-,True,False
drag,2,14,homonyms_only_different_pos,17,0.1111111111111111,8,21,abs-conc,True,False
gas station,1,1,mon,0,None,0,0,-,ooc,False
F,3,3,homonyms_also_same_pos,4,0.23529411764705882,1,0,abs,ooc,False
no one,1,1,mon,0,None,0,0,-,False,False
discontent,3,4,homonyms_only_different_pos,3,None,0,0,abs,False,False
Italian,1,1,mon,3,0.11764705882352941,2,0,abs-conc,ooc,False
armistice,1,1,mon,1,1.0,0,0,abs,ooc,False
swig,2,2,homonyms_only_different_pos,3,0.25,1,0,conc,ooc,False
oscar,0,0,oov,1,1.0,0,0,abs,False,False
arrack,1,1,mon,1,1.0,0,0,abs,ooc,False
underfloor,1,1,mon,0,None,0,0,-,ooc,False
plough under,1,1,mon,0,None,0,0,-,ooc,False
wheat,1,2,poly,3,0.09090909090909091,1,0,abs-conc,False,False
radioactivity,1,1,mon,1,1.0,0,0,conc,ooc,False
sweet william,1,1,mon,0,None,0,0,-,ooc,False
1944,0,0,oov,0,None,0,0,-,False,False
kinship,1,2,poly,2,0.75,1,0,abs,ooc,False
photographic,1,2,poly,2,None,0,0,-,False,False
intact,1,1,mon,4,None,1,0,-,False,False
adaptable,1,1,mon,1,1.0,0,0,-,ooc,False
outfight,1,1,mon,1,1.0,0,0,-,ooc,False
spurious,1,3,poly,3,None,1,0,-,False,False
cat - and - mouse,1,1,mon,0,None,0,0,-,ooc,False
tiger lily,1,1,mon,0,None,0,0,-,ooc,False
polling booth,1,1,mon,0,None,0,0,-,ooc,False
breathtaking,1,2,poly,1,1.0,0,0,-,ooc,False
fort,1,3,poly,5,0.2,1,0,conc,ooc,False
cavort,1,1,mon,1,1.0,0,0,-,ooc,False
rounded,0,0,oov,8,0.16666666666666666,1,0,-,False,False
cosmonaut,1,1,mon,1,1.0,0,0,conc,ooc,False
cordon,1,3,poly,3,0.1,1,0,abs-conc,ooc,False
motorcycle,1,1,mon,2,None,0,1,conc,ooc,False
healthy,1,3,poly,5,None,1,0,-,False,False
tweak,2,2,homonyms_only_different_pos,4,0.18181818181818182,2,6,abs,ooc,False
ago,1,1,mon,2,None,0,0,-,False,False
disendow,1,1,mon,0,None,0,0,-,ooc,False
pete,0,0,oov,0,None,0,0,-,False,False
well-established,0,0,oov,0,None,0,0,-,False,False
ethnology,1,1,mon,1,1.0,0,0,abs,ooc,False
reply,2,2,homonyms_only_different_pos,3,0.3076923076923077,1,5,abs,False,False
slewed,1,1,mon,2,0.25,0,0,-,ooc,False
straw - coloured,1,1,mon,0,None,0,0,-,ooc,False
hieroglyphics,1,1,mon,2,0.7692307692307693,0,0,abs,ooc,False
spring - clean,2,2,homonyms_only_different_pos,0,None,0,0,-,ooc,False
incidental expenses,1,1,mon,0,None,0,0,-,ooc,False
commissariat,1,3,poly,1,1.0,0,0,conc,ooc,False
cast away,1,1,mon,0,None,0,0,-,ooc,False
self - possession,1,1,mon,0,None,0,0,-,ooc,False
weasel,1,1,mon,2,0.5454545454545454,0,0,conc,ooc,False
bats,1,1,mon,11,0.1,0,0,abs-conc,ooc,False
ducking stool,1,1,mon,0,None,0,0,-,ooc,False
swarf,1,1,mon,0,None,0,0,-,ooc,False
all - star,1,1,mon,0,None,0,0,-,ooc,False
tapestry,1,1,mon,3,0.14285714285714285,1,0,abs-conc,ooc,False
lively,1,5,poly,6,None,1,0,-,False,False
WALES,0,0,oov,3,0.10526315789473684,0,0,abs-conc-n,ooc,True
doddery,0,0,oov,1,1.0,0,0,-,False,False
glory hole,1,1,mon,0,None,0,0,-,ooc,False
Benjamin Netanyahu,0,0,oov,0,None,0,0,-,ooc,True
bygones,1,1,mon,1,1.0,0,0,abs,ooc,False
tidy,3,5,homonyms_only_different_pos,5,None,2,0,conc,False,False
artifice,1,4,poly,1,1.0,0,0,abs,ooc,False
wandering,1,2,poly,9,0.16666666666666666,0,0,abs,False,False
expand,1,2,poly,7,0.14285714285714285,1,3,-,True,False
at home,1,1,mon,0,None,0,0,-,ooc,False
misbehaved,1,1,mon,1,1.0,0,0,-,ooc,False
leek,1,1,mon,2,0.2,1,0,conc,ooc,False
vowel,1,2,poly,2,0.25,1,0,abs,False,False
prominence,1,3,poly,3,0.375,2,0,abs,False,False
inanition,1,2,poly,2,0.42857142857142855,1,0,abs,ooc,False
mess about,1,4,poly,0,None,0,0,-,ooc,False
bewail,1,1,mon,1,1.0,0,0,-,ooc,False
dispel,1,1,mon,2,0.3333333333333333,1,0,-,False,False
aback,1,1,mon,2,None,1,0,-,ooc,False
fret,4,5,homonyms_also_same_pos,16,0.1111111111111111,7,6,abs-conc,False,False
blotch,1,2,poly,2,None,0,0,abs,ooc,False
skim,1,4,poly,10,0.125,5,6,abs-conc,True,False
scanty,1,1,mon,2,None,0,0,conc,ooc,False
czarina,1,1,mon,1,1.0,0,0,conc,ooc,False
hypothesis,1,1,mon,3,0.2857142857142857,1,0,abs,ooc,False
gadabout,1,1,mon,1,1.0,0,0,conc,ooc,False
senile,1,1,mon,1,1.0,0,0,-,ooc,False
come into,1,3,poly,0,None,0,0,-,ooc,False
brawny,1,1,mon,1,1.0,0,0,-,ooc,False
crocodile tears,1,1,mon,0,None,0,0,-,ooc,False
kick,2,12,homonyms_only_different_pos,14,0.2,5,26,abs,True,False
expeditious,1,1,mon,1,1.0,0,0,-,ooc,False
sighted,1,1,mon,3,0.2222222222222222,0,0,-,ooc,False
complement,2,4,homonyms_only_different_pos,7,0.13333333333333333,3,0,abs-conc,False,False
supply,2,8,homonyms_only_different_pos,7,0.16666666666666666,2,7,abs-conc,True,False
borzoi,1,1,mon,1,1.0,0,0,conc,ooc,False
sensitivity,1,1,mon,5,0.26666666666666666,1,0,abs,True,False
paragon,1,1,mon,2,0.13333333333333333,1,0,abs-conc,ooc,False
antipersonnel,1,1,mon,1,1.0,0,0,-,ooc,False
crush barrier,1,1,mon,0,None,0,0,-,ooc,False
unprejudiced,1,1,mon,1,1.0,0,0,-,ooc,False
from now on,0,0,oov,0,None,0,0,-,False,False
move along,1,2,poly,0,None,0,0,-,ooc,False
clerical,1,2,poly,3,None,2,0,-,ooc,False
21,0,0,oov,2,None,0,0,abs,False,False
reversal,1,1,mon,8,0.2857142857142857,1,0,abs,ooc,False
consistory,1,2,poly,1,1.0,0,0,abs,ooc,False
finicky,1,1,mon,1,1.0,0,0,-,ooc,False
gnawing,1,1,mon,2,0.16666666666666666,0,0,-,ooc,False
