id	property_name	search_term	category_name	label	source	comment							
219	has_a_handle_handles	has_a_handle_handles	has_a_handle_handles	pos	cslb								
220	is_heavy	is_heavy	is_heavy	pos	cslb								
221	is_juicy	is_juicy	is_juicy	pos	cslb								
222	is_heavy	is_small	is_small	pos/neg	cslb								
223	is_juicy	is_hot	is_hot	pos/neg	cslb								
224	is_juicy	is_small	is_small	pos/neg	cslb								
225	is_juicy	is_large	is_large	pos/neg	cslb								
226	is_juicy	is_cold	is_cold	pos/neg	cslb								
227	is_juicy	is_used_in_cooking	is_used_in_cooking	pos/neg	cslb								
228	is_large	is_large	is_large	pos	mcrae								
229	is_large	is_small	is_small	neg	mcrae								
230	made_of_metal	made_of_metal	made_of_metal	pos	mcrae								
231	made_of_metal	made_of_plastic	made_of_plastic	neg	mcrae								
232	made_of_metal	made_of_plastic	made_of_plastic	neg	cslb								
232	made_of_metal	made_of_wood	made_of_wood	neg	mcrae								
233	is_round	is_round	is_round	pos	mcrae								
234	is_edible	is_edible	is_edible	pos	mcrae								
235	is_edible	is_yellow	is_yellow	pos/neg	mcrae								
236	is_edible	is_yellow	is_yellow	pos/neg	cslb								
237	is_edible	is_brown	is_brown	pos/neg	mcrae								
238	is_edible	is_brown	is_brown	pos/neg	cslb								
239	is_edible	is_green	is_green	pos/neg	mcrae								
240	is_edible	is_green	is_green	pos/neg	cslb								
241	used_for_transportation	used_for_transportation	used_for_transportation	pos	mcrae								
242	used_for_transportation	an_animal	an_animal	pos/neg	mcrae								
243	used_for_transportation	made_of_metal	made_of_metal	pos/neg	mcrae								
244	used_for_transportation	made_of_metal	made_of_metal	pos/neg	cslb								
242	used_for_transportation	an_animal	an_animal	pos/neg	cslb								
244	is_green	is_green	is_green	pos	mcrae								
245	is_green	is_green	is_green	pos	cslb								
246	is_green	is_yellow	is_yellow	neg	mcrae								
247	is_green	is_yellow	is_yellow	neg	cslb								
248	is_green	is_black	is_black	neg	mcrae								
249	is_green	is_black	is_black	neg	cslb								
250	is_green	is_blue	is_blue	neg	mcrae								
251	is_green	is_blue	is_blue	neg	cslb								
252	is_green	is_red	is_red	neg	mcrae								
253	is_green	is_red	is_red	neg	cslb								
254	is_red	is_red	is_red	pos	mcrae								
255	is_red	is_red	is_red	pos	cslb								
256	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	pos	cslb								
257	is_used_in_cooking	used_in_cooking	used_in_cooking	pos	mcrae								
258	is_used_in_cooking	is_made_of_metal	is_made_of_metal	pos/neg	cslb								
259	is_used_in_cooking	is_made_of_metal	is_made_of_metal	pos/neg	mcrae								
260	is_used_in_cooking	tool	tool	pos/neg	wn								
261	is_used_in_cooking	is_red	is_red	pos/neg	cslb								
262	is_used_in_cooking	is_red	is_red	pos/neg	mcrae								
263	is_used_in_cooking	is_black	is_black	pos/neg	mcrae								
264	is_used_in_cooking	is_black	is_black	pos/neg	cslb								
265	is_used_in_cooking	is_used_in_cooking	is_used_in_cooking	pos	cslb								
266	is_used_in_cooking	used_in_cooking	used_in_cooking	pos	mcrae								
267	is_used_in_cooking	made_of_metal	made_of_metal	pos/neg	cslb								
268	is_used_in_cooking	made_of_metal	made_of_metal	pos/neg	mcrae								
269	is_used_in_cooking	tool	tool	pos/neg	wn								
270	has_a_handle_handles	has_a_handle_handles	has_a_handle_handles	pos	cslb								
271	has_a_handle_handles	tool	tool	pos/neg	wn								
272	has_a_handle_handles	made_of_metal	made_of_metal	pos/neg	cslb								
273	has_a_handle_handles	made_of_metal	made_of_metal	pos/neg	mcrae								
274	has_a_handle_handles	made_of_wood	made_of_wood	pos/neg	cslb								
275	has_a_handle_handles	made_of_plastic	made_of_plastic	pos/neg	cslb								
276	has_a_handle_handles	made_of_plastic	made_of_plastic	pos/neg	mcrae								
